year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,27,GTLM,912,Porsche GT Team,Porsche 911 RSR - 19,Earl Bamber,2:02.735,4,33,11.701,0.044,118.733,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,28,GTLM,3,Corvette Racing,Chevrolet Corvette C8.R,Jordan Taylor,2:02.799,5,19,11.765,0.064,118.671,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,29,GTLM,911,Porsche GT Team,Porsche 911 RSR - 19,Nick Tandy,2:02.898,15,31,11.864,0.099,118.576,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,30,GTLM,4,Corvette Racing,Chevrolet Corvette C8.R,Tommy Milner,2:03.142,6,35,12.108,0.244,118.341,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,31,GTLM,25,BMW Team RLL,BMW M8 GTE,Connor De Phillippi,2:03.169,8,31,12.135,0.027,118.315,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,32,GTLM,911,Porsche GT Team,Porsche 911 RSR - 19,Fred Makowiecki,2:03.368,4,27,12.334,0.199,118.124,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,33,GTLM,24,BMW Team RLL,BMW M8 GTE,Jesse Krohn,2:03.382,4,22,12.348,0.014,118.110,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,34,GTLM,4,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,2:03.398,4,25,12.364,0.016,118.095,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,35,GTLM,25,BMW Team RLL,BMW M8 GTE,Bruno Spengler,2:03.444,8,24,12.410,0.046,118.051,06_Fastest Lap By Driver_Race.PDF,1
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,36,GTLM,24,BMW Team RLL,BMW M8 GTE,John Edwards,2:03.602,12,38,12.568,0.158,117.900,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,37,GTD,57,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Alvaro Parente,2:08.140,4,27,17.106,4.538,113.725,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,38,GTD,74,Riley Motorsports,Mercedes-AMG GT3,Lawson Aschenbach,2:08.179,3,36,17.145,0.039,113.690,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,39,GTD,76,Compass Racing,McLaren 720S GT3,Paul Holton,2:08.183,4,33,17.149,0.004,113.687,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,40,GTD,63,Scuderia Corsa,Ferrari 488 GT3,Toni Vilander,2:08.440,5,34,17.406,0.257,113.459,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,41,GTD,86,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,2:08.481,3,36,17.447,0.041,113.423,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,42,GTD,16,Wright Motorsports,Porsche 911 GT3R,Patrick Long,2:08.577,9,36,17.543,0.096,113.338,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,43,GTD,14,AIM VASSER SULLIVAN,Lexus RC F GT3,Jack Hawksworth,2:08.578,12,34,17.544,0.001,113.337,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,44,GTD,96,Turner Motorsport,BMW M6 GT3,Bill Auberlen,2:08.671,8,36,17.637,0.093,113.256,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,45,GTD,12,AIM VASSER SULLIVAN,Lexus RC F GT3,Townsend Bell,2:08.885,12,35,17.851,0.214,113.067,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,46,GTD,44,GRT Magnus,Lamborghini Huracan GT3,Andy Lally,2:08.919,7,35,17.885,0.034,113.038,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,47,GTD,14,AIM VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,2:08.956,5,23,17.922,0.037,113.005,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,48,GTD,12,AIM VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,2:09.074,4,22,18.040,0.118,112.902,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,49,GTD,30,Team Hardpoint,Audi R8 LMS GT3,Spencer Pumpelly,2:09.671,4,34,18.637,0.597,112.382,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,50,GTD,96,Turner Motorsport,BMW M6 GT3,Robby Foley,2:09.819,17,21,18.785,0.148,112.254,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,51,GTD,76,Compass Racing,McLaren 720S GT3,Corey Fergus,2:09.904,6,24,18.870,0.085,112.181,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,52,GTD,74,Riley Motorsports,Mercedes-AMG GT3,Gar Robinson,2:09.935,3,21,18.901,0.031,112.154,06_Fastest Lap By Driver_Race.PDF,2
