year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,21,GTLM,24,BMW Team RLL,BMW M8 GTE,John Edwards,1:20.002,68,81,7.710,0.084,101.607,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,22,GTLM,4,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,1:20.003,12,29,7.711,0.001,101.605,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,23,GTLM,24,BMW Team RLL,BMW M8 GTE,Jesse Krohn,1:20.046,17,29,7.754,0.043,101.551,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,24,GTLM,25,BMW Team RLL,BMW M8 GTE,Bruno Spengler,1:20.060,16,29,7.768,0.014,101.533,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,25,GTD,74,Riley Motorsports,Mercedes-AMG GT3,Lawson Aschenbach,1:21.644,5,77,9.352,1.584,99.563,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,26,GTD,16,Wright Motorsports,Porsche 911 GT3R,Patrick Long,1:21.987,50,77,9.695,0.343,99.147,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,27,GTD,14,AIM VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,1:21.992,36,63,9.700,0.005,99.141,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,28,GTD,86,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,1:22.078,12,41,9.786,0.086,99.037,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,29,GTD,86,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Matt McMurry,1:22.102,36,67,9.810,0.024,99.008,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,30,GTD,57,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Alvaro Parente,1:22.137,18,45,9.845,0.035,98.966,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,31,GTD,12,AIM VASSER SULLIVAN,Lexus RC F GT3,Townsend Bell,1:22.177,12,40,9.885,0.040,98.917,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,32,GTD,44,GRT Magnus,Lamborghini Huracan GT3,Andy Lally,1:22.183,10,77,9.891,0.006,98.910,06_Fastest Lap By Driver_Race.PDF,1
