year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner | Page 1 / 23
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,5,DPi,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac,Joao Barbosa,Sebastien Bourdais,,,,Mustang Sampling Racing / Cadillac DPi | JDC-Miller MotorSports DPi | 1.Joao Barbosa | 2.Sebastien Bourdais
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,6,DPi,ACURA TEAM PENSKE,Acura,Juan Pablo Montoya,Dane Cameron,,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Juan Pablo Montoya | 2.Dane Cameron
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,7,DPi,ACURA TEAM PENSKE,Acura,Helio Castroneves,Ricky Taylor,,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Helio Castroneves | 2.Ricky Taylor
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac,Renger van der Zande,Ryan Briscoe,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | DPi | 1.Renger van der Zande | 2.Ryan Briscoe
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,12,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,Townsend Bell,,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Townsend Bell
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,14,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,Jack Hawksworth,,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Aaron Telitz | 2.Jack Hawksworth
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Patrick Long,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Patrick Long
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,22,GTD,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,Marc Miller,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Till Bechtolsheimer | 2.Marc Miller
