year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,10,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,Brendon Hartley,Marcus Ericsson,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Ricky Taylor 3.Brendon Hartley | 2.Filipe Albuquerque 4.Marcus Ericsson
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,11,LMP2,TDS Racing,ORECA 07,Steven Thomas,Mikkel Jensen,Hunter McElrea,Charles Milesi,,TDS Racing ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Hunter McElrea | 2.Mikkel Jensen 4.Charles Milesi
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,12,GTD,Vasser Sullivan,Lexus RC F GT3,Frankie Montecalvo,Parker Thompson,Aaron Telitz,Ritomo Miyata,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Aaron Telitz | 2.Parker Thompson 4.Ritomo Miyata
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,Lars Kern,Alex Lynn,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani 3.Lars Kern | 2.Matthew Bell 4.Alex Lynn
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,14,GTD PRO,VasserSullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,Kyle Kirkwood,Mike Conway,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth 3.Kyle Kirkwood | 2.Ben Barnicoat 4.Mike Conway
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,17,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Anthony Mantella,Nico Varrone,Thomas Merrill,Charlie Eastwood,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Anthony Mantella 3.Thomas Merrill | 2.Nico Varrone 4.Charlie Eastwood
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Ryan Dalziel,Connor Zilisch,Christian Rasmussen,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman 3.Connor Zilisch | 2.Ryan Dalziel 4.Christian Rasmussen
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,19,GTD PRO,Iron Lynx Lamborghini,Huracan GT3 EVO2,Franck Perera,Jordan Pepper,Andrea Caldarelli,Mirko Bortolotti,,Iron Lynx Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Franck Perera 3.Andrea Caldarelli | 2.Jordan Pepper 4.Mirko Bortolotti
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,20,LMP2,MDK by High Class Racing,ORECA 07,Dennis Andersen,Seth Lucas,Laurents Hoerr,Scott Huffaker,,MDK by High Class Racing ORECA LMP2 07 | LMP2 | 1.Dennis Andersen 3.Laurents Hoerr | 2.Seth Lucas 4.Scott Huffaker
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,21,GTD,Af Corse,Ferrari 296 GT3,Simon Mann,Francois Heriau,Miguel Molina,Kei Cozzolino,,Af Corse Ferrari 296 GT3 | GTD | 1.Simon Mann 3.Miguel Molina | 2.Francois Heriau 4.Kei Cozzolino
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,22,LMP2,United Autosports USA,ORECA 07,Daniel Goldburg,Paul Di Resta,Bijoy Garg,Felix Rosenqvist,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Daniel Goldburg 3.Bijoy Garg | 2.Paul Di Resta 4.Felix Rosenqvist
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,023,GTD,Triarsi Competizione,Ferrari 296 GT3,Onofrio Triarsi,Charles Scardina,Riccardo Agostini,Alessio Rovera,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Onofrio Triarsi 3.Riccardo Agostini | 2.Charles Scardina 4.Alessio Rovera
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,23,GTD PRO,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Ross Gunn,Alex Riberas,Mario Farnbacher,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTDPRO | 1.Ross Gunn 3.Mario Farnbacher | 2.Alex Riberas
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Jesse Krohn,Philipp Eng,Augusto Farfus,Dries Vanthoor,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Jesse Krohn 3.Augusto Farfus | 2.Philipp Eng 4.Dries Vanthoor
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Connor De Phillippi,Nick Yelloly,Maxime Martin,Rene Rast,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Connor De Phillippi 3.Maxime Martin | 2.Nick Yelloly 4.Rene Rast
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Roman De Angelis,Zacharie Robichon,Ian James,Marco Sorensen,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Roman De Angelis 3.Ian James | 2.Zacharie Robichon 4.Marco Sorensen
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,31,GTP,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,Pipo Derani,Jack Aitken,Tom Blomqvist,,,Whelen Engineering Cadillac Racing Cadillac V-Series.R | GTP | 1.Pipo Derani 3.Tom Blomqvist | 2.Jack Aitken
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,32,GTD,Korthoff/Preston Motorsports,Mercedes AMG GT3,Mike Skeen,Mikael Grenier,Kenton Koch,Maximilian Goetz,,Korthoff/Preston Motorsports Mercedes AMG GT3 | GTD | 1.Mike Skeen 3.Kenton Koch | 2.Mikael Grenier 4.Maximilian Goetz
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,33,LMP2,Sean Creech Motorsport,Ligier,Lance Willsey,Joao Barbosa,Nolan Siegel,Jonny Edgar,,Sean Creech Motorsport Ligier LMP2 | LMP2 | 1.Lance Willsey 3.Nolan Siegel | 2.Joao Barbosa 4.Jonny Edgar
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Manny Franco,Albert Costa Balboa,Alessandro Balzan,Cedric Sbirrazzuoli,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Manny Franco 3.Alessandro Balzan | 2.Albert Costa Balboa 4.Cedric Sbirrazzuoli
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,40,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Jordan Taylor,Louis Deletraz,Colton Herta,Jenson Button,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Jordan Taylor 3.Colton Herta | 2.Louis Deletraz 4.Jenson Button
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,43,GTD,Andretti Motorsports Porsche,911 GT3 R (992),Jarett Andretti,Gabby Chaves,Scott Hargrove,Thomas Preining,,Andretti Motorsports Porsche 911 GT3 R (992) | GTD | 1.Jarett Andretti 3.Scott Hargrove | 2.Gabby Chaves 4.Thomas Preining
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,44,GTD,Magnus Racing Aston,Martin Vantage GT3 Evo,John Potter,Andy Lally,Spencer Pumpelly,Nicki Thiim,,Magnus Racing Aston Martin Vantage GT3 Evo | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally 4.Nicki Thiim
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,45,GTD,Wayne Taylor Racing with Andretti Lamborghini,Huracan GT3 EVO2,Kyle Marcelli,Danny Formal,Graham Doyle,Ashton Harrison,,Wayne Taylor Racing with Andretti Lamborghini Huracan GT3 EVO2 | GTD | 1.Kyle Marcelli 3.Graham Doyle | 2.Danny Formal 4.Ashton Harrison
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,47,GTD,CETILAR RACING,Ferrari 296 GT3,Roberto Lacorte,Giorgio Sernagiotto,Antonio Fuoco,Eddie Cheever,,CETILAR RACING Ferrari 296 GT3 | GTD | 1.Roberto Lacorte 3.Antonio Fuoco | 2.Giorgio Sernagiotto 4.Eddie Cheever
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,52,LMP2,Inter Europol by PR1 Mathiasen Motorsports,ORECA 07,Jakub Smiechowski,Nick Boulle,Tom Dillmann,Pietro Fittipaldi,,Inter Europol by PR1 Mathiasen ORECA LMP2 07 | Motorsports LMP2 | 1.Jakub Smiechowski 3.Tom Dillmann | 2.Nick Boulle 4.Pietro Fittipaldi
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,55,GTD,Proton Competition,Ford Mustang GT3,Ryan Hardwick,Dennis Olsen,Giammarco Levorato,Corey Lewis,,Proton Competition Ford Mustang GT3 | GTD | 1.Ryan Hardwick 3.Giammarco Levorato | 2.Dennis Olsen 4.Corey Lewis
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,57,GTD,Winward Racing,Mercedes AMG GT3,Russell Ward,Philip Ellis,Indy Dontje,Daniel Morad,,Winward Racing Mercedes AMG GT3 | GTD | 1.Russell Ward 3.Indy Dontje | 2.Philip Ellis 4.Daniel Morad
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,60,GTD PRO,Iron Lynx Lamborghini,Huracan GT3 EVO2,Claudio Schiavoni,Matteo Cressoni,Romain Grosjean,Matteo Cairoli,,Iron Lynx Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Claudio Schiavoni 3.Romain Grosjean | 2.Matteo Cressoni 4.Matteo Cairoli
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,62,GTD PRO,Risi Competizione,Ferrari 296 GT3,Daniel Serra,Davide Rigon,Alessandro Pier Guidi,James Calado,,Risi Competizione Ferrari 296 GT3 | GTDPRO | 1.Daniel Serra 3.Alessandro Pier Guidi | 2.Davide Rigon 4.James Calado
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,64,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Christopher Mies,Harry Tincknell,Mike Rockenfeller,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Christopher Mies 3.Mike Rockenfeller | 2.Harry Tincknell
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,65,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Frederic Vervisch,Joey Hand,Dirk Mueller,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Frederic Vervisch 3.Dirk Mueller | 2.Joey Hand
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,66,GTD,Gradient Racing,Acura NSX GT3,Sheena Monk,Katherine Legge,Tati Calderon,Stevan McAleer,,Gradient Racing Acura NSX GT3 | GTD | 1.Sheena Monk 3.Tati Calderon | 2.Katherine Legge 4.Stevan McAleer
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,70,GTD,Inception Racing,McLaren 720S GT3 EVO,Brendan Iribe,Frederik Schandorff,Ollie Millroy,Tom Gamble,,Inception Racing McLaren 720S GT3 EVO | GTD | 1.Brendan Iribe 3.Ollie Millroy | 2.Frederik Schandorff 4.Tom Gamble
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,74,LMP2,Riley,ORECA 07,Gar Robinson,Felipe Fraga,Josh Burdon,Felipe Massa,,Riley ORECA LMP2 07 | LMP2 | 1.Gar Robinson 3.Josh Burdon | 2.Felipe Fraga 4.Felipe Massa
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,75,GTD PRO,Sun Energy 1,Mercedes AMG GT3,Kenny Habul,Jules Gounon,Luca Stolz,Maro Engel,,Sun Energy 1 Mercedes AMG GT3 | GTDPRO | 1.Kenny Habul 3.Luca Stolz | 2.Jules Gounon 4.Maro Engel
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,77,GTD PRO,AO Racing Porsche,911 GT3 R (992),Laurin Heinrich,Seb Priaulx,Michael Christensen,,,AO Racing Porsche 911 GT3 R (992) | GTDPRO | 1.Laurin Heinrich 3.Michael Christensen | 2.Seb Priaulx
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,78,GTD,Forte Racing Lamborghini,Huracan GT3 EVO2,Misha Goikhberg,Loris Spinelli,Devlin Defrancesco,Sandy Mitchell,,Forte Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Misha Goikhberg 3.Devlin Defrancesco | 2.Loris Spinelli 4.Sandy Mitchell
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,80,GTD,Lone Star Racing,Mercedes AMG GT3,Salih Yoluc,Rui Pinto de Andrade,Scott Andrews,Adam Christodoulou,,Lone Star Racing Mercedes AMG GT3 | GTD | 1.Salih Yoluc 3.Scott Andrews | 2.Rui Pinto de Andrade 4.Adam Christodoulou
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,81,LMP2,DragonSpeed,ORECA 07,Eric Lux,Kyffin Simpson,James Allen,Sebastian Alvarez,,DragonSpeed ORECA LMP2 07 | LMP2 | 1.Eric Lux 3.James Allen | 2.Kyffin Simpson 4.Sebastian Alvarez
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,83,GTD,Iron Dames Lamborghini,Huracan GT3 EVO2,Rahel Frey,Michelle Gatting,Sarah Bovy,Doriane Pin,,Iron Dames Lamborghini Huracan GT3 EVO2 | GTD | 1.Rahel Frey 3.Sarah Bovy | 2.Michelle Gatting 4.Doriane Pin
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,85,GTP,JDC-Miller MotorSports,Porsche 963,Tijmen van der Helm,Richard Westbrook,Phil Hanson,Ben Keating,,JDC-Miller MotorSports Porsche 963 | GTP | 1.Tijmen van der Helm 3.Phil Hanson | 2.Richard Westbrook 4.Ben Keating
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,86,GTD,MDK Motorsports Porsche,911 GT3 R (992),Kerong Li,Anders Fjordbach,Larry ten Voorde,Klaus Bachler,,MDK Motorsports Porsche 911 GT3 R (992) | GTD | 1.Kerong Li 3.Larry ten Voorde | 2.Anders Fjordbach 4.Klaus Bachler
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,88,LMP2,Richard Mille AF Corse,ORECA 07,Luis Perez Companc,Nicklas Nielsen,Lilou Wadoux Ducellier,Matthieu Vaxiviere,,Richard Mille AF Corse ORECA LMP2 07 | LMP2 | 1.Luis Perez Companc 3.Lilou Wadoux Ducellier | 2.Nicklas Nielsen 4.Matthieu Vaxiviere
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,92,GTD,Kellymoss with Riley Porsche,911 GT3 R (992),David Brule,Alec Udell,Trent Hindman,Julien Andlauer,,Kellymoss with Riley Porsche 911 GT3 R (992) | GTD | 1.David Brule 3.Trent Hindman | 2.Alec Udell 4.Julien Andlauer
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Robby Foley,Patrick Gallagher,Jake Walker,Jens Klingmann,,Turner Motorsport BMW M4 GT3 | GTD | 1.Robby Foley 3.Jake Walker | 2.Patrick Gallagher 4.Jens Klingmann
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,99,LMP2,AO Racing,ORECA 07,PJ Hyett,Paul-Loup Chatin,Matt Brabham,Alex Quinn,,AO Racing ORECA LMP2 07 | LMP2 | 1.PJ Hyett 3.Matt Brabham | 2.Paul-Loup Chatin 4.Alex Quinn
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,120,GTD,Wright Motorsports Porsche,911 GT3 R (992),Adam Adelson,Elliott Skeer,Jan Heylen,Fred Makowiecki,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Adam Adelson 3.Jan Heylen | 2.Elliott Skeer 4.Fred Makowiecki
