year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,,T. Milner,13:19:50.443,13:20:47.573,PIT,57.130,59:02.170,59:59.300,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,T. Milner,13:20:47.573,14:15:58.695,TRACK,55:11.122,1:54:13.292,1:55:10.422,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,5,Action Express Racing | Chevrolet Corvette DP P,1,C. Fittipaldi,11:35:58.695,12:16:14.498,TRACK,40:15.803,40:15.803,40:15.803,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,5,Action Express Racing | Chevrolet Corvette DP P,,,12:16:14.498,12:17:09.594,PIT,55.096,,,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,5,Action Express Racing | Chevrolet Corvette DP P,2,J. Barbosa,12:17:09.594,13:22:11.734,TRACK,1:05:02.140,1:05:02.140,1:05:02.140,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,5,Action Express Racing | Chevrolet Corvette DP P,,J. Barbosa,13:22:11.734,13:23:09.658,PIT,57.924,1:05:02.140,1:06:00.064,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,5,Action Express Racing | Chevrolet Corvette DP P,3,J. Barbosa,13:23:09.658,14:15:58.695,TRACK,52:49.037,1:57:51.177,1:58:49.101,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,A. Davis,11:35:58.695,12:19:43.172,TRACK,43:44.477,43:44.477,43:44.477,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,A. Davis,12:19:43.172,12:20:50.452,PIT,1:07.280,43:44.477,44:51.757,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,A. Davis,12:20:50.452,12:57:28.116,TRACK,36:37.664,1:20:22.141,1:21:29.421,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,,12:57:28.116,12:58:32.923,PIT,1:04.807,,,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,3,R. Liddell,12:58:32.923,13:35:42.039,TRACK,37:09.116,37:09.116,37:09.116,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,R. Liddell,13:35:42.039,13:36:40.278,PIT,58.239,37:09.116,38:07.355,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,4,R. Liddell,13:36:40.278,14:15:58.695,TRACK,39:18.417,1:16:27.533,1:17:25.772,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,1,D. Calvert-Jones,11:35:58.695,12:19:47.180,TRACK,43:48.485,43:48.485,43:48.485,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,1,J. Gutierrez,11:35:58.695,12:37:10.452,TRACK,1:01:11.757,1:01:11.757,1:01:11.757,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,,D. Calvert-Jones,12:19:47.180,12:20:52.085,PIT,1:04.905,43:48.485,44:53.390,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,,,12:37:10.452,12:38:22.520,PIT,1:12.068,,,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,2,D. Calvert-Jones,12:20:52.085,12:23:37.988,TRACK,2:45.903,46:34.388,47:39.293,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,2,G. Yacaman,12:38:22.520,12:42:24.241,TRACK,4:01.721,4:01.721,4:01.721,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,,,12:23:37.988,12:24:47.364,PIT,1:09.376,,,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,,G. Yacaman,12:42:24.241,12:42:55.762,PIT,31.521,4:01.721,4:33.242,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,3,B. Barker,12:24:47.364,13:28:18.800,TRACK,1:03:31.436,1:03:31.436,1:03:31.436,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,3,G. Yacaman,12:42:55.762,13:30:40.048,TRACK,47:44.286,51:46.007,52:17.528,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,,B. Barker,13:28:18.800,13:29:33.463,PIT,1:14.663,1:03:31.436,1:04:46.099,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,,G. Yacaman,13:30:40.048,13:31:51.301,PIT,1:11.253,51:46.007,53:28.781,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,4,B. Barker,13:29:33.463,14:15:58.695,TRACK,46:25.232,1:49:56.668,1:51:11.331,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,007,TRG-AMR | Aston Martin Vantage GT3 GTD,4,G. Yacaman,13:31:51.301,14:15:58.695,TRACK,44:07.394,1:35:53.401,1:37:36.175,20_Drive Time.PDF,2,1
