year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,01,DPi,Cadillac Racing,Cadillac,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac DPi | DPi | 1.Renger van der Zande | 2.Sebastien Bourdais
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,02,DPi,Cadillac Racing,Cadillac,Earl Bamber,Alex Lynn,,,,Cadillac Racing Cadillac DPi | DPi | 1.Earl Bamber | 2.Alex Lynn
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia | 2.Jordan Taylor
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,5,DPi,JDC Miller MotorSports,Cadillac,Tristan Vautier,Richard Westbrook,,,,JDC Miller MotorSports Cadillac DPi | DPi | 1.Tristan Vautier | 2.Richard Westbrook
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,9,GTD PRO,Pfaff Motorsports,Porsche 911 GT3R,Matt Campbell,Mathieu Jaminet,,,,Pfaff Motorsports Porsche 911 GT3R | GTDPRO | 1.Matt Campbell | 2.Mathieu Jaminet
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,,,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor | 2.Filipe Albuquerque
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Aaron Telitz
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,14,GTD PRO,VasserSullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,,,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth | 2.Ben Barnicoat
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Jan Heylen,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Jan Heylen
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,23,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3,Ross Gunn,Alex Riberas,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTDPRO | 1.Ross Gunn | 2.Alex Riberas
