year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Kelvin van der Linde,Connor De Phillippi,Neil Verhagen,Madison Snow,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Kelvin van der Linde 3.Neil Verhagen | 2.Connor De Phillippi 4.Madison Snow
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,2,LMP2,United Autosports USA,ORECA 07,Oliver Jarvis,Ben Hanley,Garnet Patterson,Nick Boulle,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Oliver Jarvis 3.Garnet Patterson | 2.Ben Hanley 4.Nick Boulle
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Daniel Juncadella,Alexander Sims,Antonio Garcia,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Daniel Juncadella 3.Antonio Garcia | 2.Alexander Sims
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,Colton Herta,Toby Sowery,Malthe Jakobsen,George Kurtz,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.Colton Herta 3.Malthe Jakobsen | 2.Toby Sowery 4.George Kurtz
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Nico Varrone,Nicky Catsburg,Tommy Milner,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Nico Varrone 3.Tommy Milner | 2.Nicky Catsburg
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,5,GTP,Proton Competition,Porsche 963,Julien Andlauer,Nico Pino,Tristan Vautier,Neel Jani,,Proton Competition Porsche 963 | GTP | 1.Julien Andlauer 3.Tristan Vautier | 2.Nico Pino 4.Neel Jani
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Kevin Estre,Matt Campbell,Mathieu Jaminet,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Kevin Estre 3.Mathieu Jaminet | 2.Matt Campbell
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,007,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Marco Sorensen,Roman De Angelis,Alex Riberas,Ross Gunn,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTDPRO | 1.Marco Sorensen 3.Alex Riberas | 2.Roman De Angelis 4.Ross Gunn
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Laurens Vanthoor,Nick Tandy,Felipe Nasr,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Laurens Vanthoor 3.Felipe Nasr | 2.Nick Tandy
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,8,LMP2,Tower Motorsports,ORECA 07,Job Van Uitert,Sebastien Bourdais,Sebastian Alvarez,John Farano,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.Job Van Uitert 3.Sebastian Alvarez | 2.Sebastien Bourdais 4.John Farano
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,9,GTD PRO,Pfaff Motorsports Lamborghini,Huracan GT3 EVO2,James Hinchcliffe,Marco Mapelli,Jordan Pepper,Andrea Caldarelli,,Pfaff Motorsports Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.James Hinchcliffe 3.Jordan Pepper | 2.Marco Mapelli 4.Andrea Caldarelli
