year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,14,GTD,3GT Racing,Lexus RC F GT3,Dominik Baumann,Kyle Marcelli,,,,3GT Racing Lexus RC F GT3 | GTD | 1.Dominik Baumann | 2.Kyle Marcelli
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,15,GTD,3GT Racing,Lexus RC F GT3,Jack Hawksworth,David Heinemeier Hansson,,,,3GT Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth | 2.David Heinemeier Hansson
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Alexander Sims,Connor De Phillippi,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Alexander Sims | 2.Connor De Phillippi
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,33,GTD,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,,,,Mercedes-AMG Team Riley Mercedes-AMG GT3 | Motorsports GTD | 1.Ben Keating | 2.Jeroen Bleekemolen
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,44,GTD,Magnus Racing,Audi R8 LMS GT3,John Potter,Andy Lally,,,,Magnus Racing Audi R8 LMS GT3 | GTD | 1.John Potter | 2.Andy Lally
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,48,GTD,Paul Miller Racing Lamborghini,Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,58,GTD,Wright Motorsports,Porsche 911 GT3 R,Patrick Long,Christina Nielsen,,,,Wright Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Long | 2.Christina Nielsen
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Gunnar Jeannette,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil | 2.Gunnar Jeannette
