year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,1,1,10,DPi,,R. Briscoe / S. Dixon / K. Kobayashi R. van der Zande,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,833,24:00:33.494,-,,,601,1:34.652,135.401,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,2,2,77,DPi,,O. Jarvis / T. Nunez / O. Pla,Mazda Team Joest,Mazda DPi,833,24:01:38.920,1:05.426,1:05.426,,393,1:34.911,135.031,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,3,3,5,DPi,,J. Barbosa / S. Bourdais / L. Duval,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac DPi,833,24:01:59.079,1:25.585,20.159,,646,1:34.848,135.121,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,4,4,6,DPi,,D. Cameron / J. Montoya / S. Pagenaud,ACURA TEAM PENSKE,Acura DPi,828,24:01:28.075,5 Laps,5,,142,1:35.707,133.908,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,5,5,85,DPi,,J. Piedrahita / M. Leist / C. Miller T. Vautier,JDC-Miller MotorSports,Cadillac DPi,825,24:01:17.937,8 Laps,3,,678,1:35.473,134.236,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,6,6,55,DPi,,J. Bomarito / H. Tincknell / R. Hunter-Reay,Mazda Team Joest,Mazda DPi,823,24:01:55.577,10 Laps,2,,115,1:35.388,134.356,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,7,7,31,DPi,,F. Nasr / M. Conway / P. Derani F. Albuquerque,Whelen Engineering Racing,Cadillac DPi,822,24:01:31.406,11 Laps,1,,484,1:35.256,134.542,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,8,8,7,DPi,,H. Castroneves / A. Rossi / R. Taylor,ACURA TEAM PENSKE,Acura DPi,811,24:01:13.140,22 Laps,11,,408,1:35.375,134.374,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,9,1,81,LMP2,,B. Hanley / H. Hedman / C. Braun H. Newey,DragonSpeed USA,ORECA LMP2 07,811,24:01:33.795,22 Laps,20.655,,501,1:36.791,132.409,03_Results_Race_Official.PDF,1
2020,02_Rolex 24 at Daytona,Rolex 24 at Daytona,rolex-24-at-daytona,2020-01-25,202001251340_Race,10,2,52,LMP2,,N. Boulle / G. Aubry / B. Keating S. Trummer,PR1 Mathiasen Motorsports,ORECA LMP2 07,809,24:01:17.614,24 Laps,2,,351,1:36.915,132.239,03_Results_Race_Official.PDF,1
