year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,Mike Rockenfeller,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen 3.Mike Rockenfeller | 2.Antonio Garcia
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,29,GTD,Montaplast by Land Motorsport,Audi R8 LMS GT3,Christopher Mies,Ricky Feller,Daniel Morad,,,Montaplast by Land Motorsport Audi R8 LMS GT3 | GTD | 1.Christopher Mies 3.Daniel Morad | 2.Ricky Feller
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Eric Curran,Pipo Derani,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr 3.Pipo Derani | 2.Eric Curran
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,33,GTD,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,Felipe Fraga,,,Riley Motorsports - Team AMG Mercedes-AMG GT3 | GTD | 1.Ben Keating 3.Felipe Fraga | 2.Jeroen Bleekemolen
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,38,LMP2,Performance Tech Motorsports,ORECA,Cameron Cassels,Kyle Masson,Andrew Evans,,,Performance Tech Motorsports ORECA LMP2 | LMP2 | 1.Cameron Cassels 3.Andrew Evans | 2.Kyle Masson
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,44,GTD,Magnus Racing Lamborghini,Huracan GT3,John Potter,Andy Lally,Spencer Pumpelly,,,Magnus Racing Lamborghini Huracan GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,47,GTD,Precision Performance Motorsports (PPM),Lamborghini Huracan GT3,Brandon Gdovic,Don Yount,Shinya Michimi,,,Precision Performance Motorsports Lamborghini Huracan GT3 | (PPM) GTD | 1.Brandon Gdovic 3.Shinya Michimi | 2.Don Yount
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Corey Lewis,Marco Seefried,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Marco Seefried | 2.Corey Lewis
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,50,DPi,Juncos Racing,Cadillac,Will Owen,Rene Binder,Spencer Pigot,,,Juncos Racing Cadillac DPi | DPi | 1.Will Owen 3.Spencer Pigot | 2.Rene Binder
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA,Matthew McMurry,Gabriel Aubry,Dalton Kellett,,,PR1 Mathiasen Motorsports ORECA LMP2 | LMP2 | 1.Matthew McMurry 3.Dalton Kellett | 2.Gabriel Aubry
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,54,DPi,CORE autosport,Nissan,Jonathan Bennett,Colin Braun,Romain Dumas,,,CORE autosport Nissan DPi | DPi | 1.Jonathan Bennett 3.Romain Dumas | 2.Colin Braun
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,55,DPi,Mazda Team Joest,Mazda,Jonathan Bomarito,Harry Tincknell,Olivier Pla,,,Mazda Team Joest Mazda DPi | DPi | 1.Jonathan Bomarito 3.Olivier Pla | 2.Harry Tincknell
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,57,GTD,Heinricher Racing w/Meyer Shank Racing,Acura NSX GT3,Katherine Legge,Bia Figueiredo,Christina Nielsen,,,Heinricher Racing w/Meyer Shank Acura NSX GT3 | Racing GTD | 1.Katherine Legge 3.Christina Nielsen | 2.Bia Figueiredo
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,James Calado,Alessandro Pier Guidi,Daniel Serra,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.James Calado 3.Daniel Serra | 2.Alessandro Pier Guidi
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Toni Vilander,Jeff Westphal,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil 3.Jeff Westphal | 2.Toni Vilander
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,Sebastien Bourdais,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand 3.Sebastien Bourdais | 2.Dirk Mueller
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,Scott Dixon,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe 3.Scott Dixon | 2.Richard Westbrook
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,77,DPi,Mazda Team Joest,Mazda,Oliver Jarvis,Tristan Nunez,Timo Bernhard,,,Mazda Team Joest Mazda DPi | DPi | 1.Oliver Jarvis 3.Timo Bernhard | 2.Tristan Nunez
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,84,DPi,JDC-Miller MotorSports,Cadillac,Simon Trummer,Stephen Simpson,Chris Miller,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Simon Trummer 3.Chris Miller | 2.Stephen Simpson
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Misha Goikhberg,Tristan Vautier,Juan Piedrahita,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Misha Goikhberg 3.Juan Piedrahita | 2.Tristan Vautier
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,86,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Trent Hindman,Justin Marks,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Mario Farnbacher 3.Justin Marks | 2.Trent Hindman
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,Dillon Machavern,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen 3.Dillon Machavern | 2.Robby Foley
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Nick Tandy,Frederic Makowiecki,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet 3.Frederic Makowiecki | 2.Nick Tandy
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Earl Bamber,Laurens Vanthoor,Mathieu Jaminet,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Earl Bamber 3.Mathieu Jaminet | 2.Laurens Vanthoor
