year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,Mike Rockenfeller,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen 3.Mike Rockenfeller | 2.Antonio Garcia
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,5,DPi,Mustang Sampling Racing,Cadillac,Joao Barbosa,Mike Conway,Filipe Albuquerque,,,Mustang Sampling Racing Cadillac DPi | DPi | 1.Joao Barbosa 3.Filipe Albuquerque | 2.Mike Conway
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,6,DPi,Acura Team Penske,Acura,Dane Cameron,Juan Pablo Montoya,Simon Pagenaud,,,Acura Team Penske Acura DPi | DPi | 1.Dane Cameron 3.Simon Pagenaud | 2.Juan Pablo Montoya
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,7,DPi,Acura Team Penske,Acura,Ricky Taylor,Helio Castroneves,Graham Rahal,,,Acura Team Penske Acura DPi | DPi | 1.Ricky Taylor 3.Graham Rahal | 2.Helio Castroneves
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3 R,Scott Hargrove,Zacharie Robichon,Lars Kern,,,Pfaff Motorsports Porsche 911 GT3 R | GTD | 1.Scott Hargrove 3.Lars Kern | 2.Zacharie Robichon
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,10,DPi,Konica Minolta Cadillac DPi-V.R.,Cadillac,Renger Van Der Zande3.Matthieu Vaxiviere,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R. Cadillac DPi | DPi | 1.Renger Van Der Zande3.Matthieu Vaxiviere | 2.Jordan Taylor
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,12,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Frank Montecalvo,Townsend Bell,Aaron Telitz,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frank Montecalvo 3.Aaron Telitz | 2.Townsend Bell
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,14,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Richard Heistand,Jack Hawksworth,Parker Chase,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Richard Heistand 3.Parker Chase | 2.Jack Hawksworth
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,Philipp Eng,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn 3.Philipp Eng | 2.John Edwards
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Tom Blomqvist,Connor De Phillippi,Colton Herta,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Tom Blomqvist 3.Colton Herta | 2.Connor De Phillippi
