year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,4,S. Rayhall,16:52:39.289,16:53:44.339,TRACK,1:05.050,2:08.595,4:51.743,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,,S. Rayhall,16:53:44.339,17:46:11.268,PIT,52:26.929,2:08.595,57:18.672,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,1,A. Popow,15:06:11.268,16:06:58.371,TRACK,1:00:47.103,1:00:47.103,1:00:47.103,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,,,16:06:58.371,16:07:47.085,PIT,48.714,,,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,2,R. van der Zande,16:07:47.085,16:40:29.336,TRACK,32:42.251,32:42.251,32:42.251,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,,R. van der Zande,16:40:29.336,16:41:13.051,PIT,43.715,32:42.251,33:25.966,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,3,R. van der Zande,16:41:13.051,17:46:11.268,TRACK,1:04:58.217,1:37:40.468,1:38:24.183,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,M. Bell,15:06:11.268,15:38:37.008,TRACK,32:25.740,32:25.740,32:25.740,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,M. Bell,15:38:37.008,15:39:17.427,PIT,40.419,32:25.740,33:06.159,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,M. Bell,15:39:17.427,16:42:03.468,TRACK,1:02:46.041,1:35:11.781,1:35:52.200,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,,16:42:03.468,16:43:04.571,PIT,1:01.103,,,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,3,L. Aschenbach,16:43:04.571,17:46:11.268,TRACK,1:03:06.697,1:03:06.697,1:03:06.697,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,1,S. Pumpelly,15:06:11.268,15:38:35.450,TRACK,32:24.182,32:24.182,32:24.182,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,,,15:38:35.450,15:39:25.183,PIT,49.733,,,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,2,C. Lewis,15:39:25.183,16:42:04.164,TRACK,1:02:38.981,1:02:38.981,1:02:38.981,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,,,16:42:04.164,16:43:01.452,PIT,57.288,,,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,3,S. Pumpelly,16:43:01.452,17:46:11.268,TRACK,1:03:09.816,1:35:33.998,1:35:33.998,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,20,BAR1 Motorsports | ORECA FLM09 PC,1,M. McMurry,15:06:11.268,15:37:11.192,TRACK,30:59.924,30:59.924,30:59.924,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,20,BAR1 Motorsports | ORECA FLM09 PC,,M. McMurry,15:37:11.192,15:38:08.485,PIT,57.293,30:59.924,31:57.217,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,20,BAR1 Motorsports | ORECA FLM09 PC,2,M. McMurry,15:38:08.485,16:40:27.647,TRACK,1:02:19.162,1:33:19.086,1:34:16.379,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,20,BAR1 Motorsports | ORECA FLM09 PC,,,16:40:27.647,16:41:30.685,PIT,1:03.038,,,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,20,BAR1 Motorsports | ORECA FLM09 PC,3,J. Mowlem,16:41:30.685,17:46:11.268,TRACK,1:04:40.583,1:04:40.583,1:04:40.583,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,22,Alex Job Racing | Porsche 911 GT3 R GTD,1,C. MacNeil,15:06:11.268,16:27:49.574,TRACK,1:21:38.306,1:21:38.306,1:21:38.306,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,22,Alex Job Racing | Porsche 911 GT3 R GTD,,,16:27:49.574,16:28:55.177,PIT,1:05.603,,,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,22,Alex Job Racing | Porsche 911 GT3 R GTD,2,L. Keen,16:28:55.177,16:45:41.746,TRACK,16:46.569,16:46.569,16:46.569,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,22,Alex Job Racing | Porsche 911 GT3 R GTD,,L. Keen,16:45:41.746,16:46:16.031,PIT,34.285,16:46.569,17:20.854,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,22,Alex Job Racing | Porsche 911 GT3 R GTD,3,L. Keen,16:46:16.031,17:46:11.268,TRACK,59:55.237,1:16:41.806,1:17:16.091,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,1,M. Farnbacher,15:06:11.268,15:38:38.165,TRACK,32:26.897,32:26.897,32:26.897,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,,M. Farnbacher,15:38:38.165,15:39:34.458,PIT,56.293,32:26.897,33:23.190,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,2,M. Farnbacher,15:39:34.458,16:42:00.501,TRACK,1:02:26.043,1:34:52.940,1:35:49.233,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,,,16:42:00.501,16:42:57.840,PIT,57.339,,,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,3,A. Riberas,16:42:57.840,17:25:46.081,TRACK,42:48.241,42:48.241,42:48.241,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,,A. Riberas,17:25:46.081,17:26:30.396,PIT,44.315,42:48.241,43:32.556,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,4,A. Riberas,17:26:30.396,17:29:39.006,TRACK,3:08.610,45:56.851,46:41.166,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,,A. Riberas,17:29:39.006,17:30:24.081,PIT,45.075,45:56.851,47:26.241,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,5,A. Riberas,17:30:24.081,17:31:36.376,TRACK,1:12.295,47:09.146,48:38.536,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,,A. Riberas,17:31:36.376,17:46:11.268,PIT,14:34.892,47:09.146,1:03:13.428,20_Drive Time.PDF,3,1
