year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,21,GTD,Af Corse,Ferrari 488 GT3,Simon Mann,Nicklas Nielsen,Daniel Serra,Matteo Cressoni,,Af Corse Ferrari 488 GT3 | GTD | 1.Simon Mann 3.Daniel Serra | 2.Nicklas Nielsen 4.Matteo Cressoni
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,23,GTD,Heart Of Racing Team Aston,Martin Vantage GT3,Ian James,Roman De Angelis,Darren Turner,Ross Gunn,,Heart Of Racing Team Aston Martin Vantage GT3 | GTD | 1.Ian James 3.Darren Turner | 2.Roman De Angelis 4.Ross Gunn
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,John Edwards,Jesse Krohn,Augusto Farfus,Marco Wittmann,,BMW Team RLL BMW M8 GTE | GTLM | 1.John Edwards 3.Augusto Farfus | 2.Jesse Krohn 4.Marco Wittmann
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Connor De Phillippi,Philipp Eng,Timo Glock,Bruno Spengler,,BMW Team RLL BMW M8 GTE | GTLM | 1.Connor De Phillippi 3.Timo Glock | 2.Philipp Eng 4.Bruno Spengler
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,28,GTD,Alegra Motorsports,Mercedes-AMG GT3,Daniel Morad,Mike Skeen,Billy Johnson,Maxi Buhk,,Alegra Motorsports Mercedes-AMG GT3 | GTD | 1.Daniel Morad 3.Billy Johnson | 2.Mike Skeen 4.Maxi Buhk
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,29,LMP2,Racing Team Nederland,ORECA 07,Frits Van Eerd,Giedo van der Garde,Job van Uitert,Charles Milesi,,Racing Team Nederland ORECA LMP2 07 | LMP2 | 1.Frits Van Eerd 3.Job van Uitert | 2.Giedo van der Garde 4.Charles Milesi
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Mike Conway,Pipo Derani,Chase Elliott,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr 3.Pipo Derani | 2.Mike Conway 4.Chase Elliott
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,33,LMP3,Sean Creech Motorsport,Ligier JS P320,Lance Willsey,Joao Barbosa,Wayne Boyd,Yann Clairay,,Sean Creech Motorsport Ligier JS P320 | LMP3 | 1.Lance Willsey 3.Wayne Boyd | 2.Joao Barbosa 4.Yann Clairay
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,38,LMP3,Performance Tech Motorsports,Ligier JS P320,Rasmus Lindh,Cameron Cassels,Mateo LLarena,Ayrton Ori,,Performance Tech Motorsports Ligier JS P320 | LMP3 | 1.Rasmus Lindh 3.Mateo LLarena | 2.Cameron Cassels 4.Ayrton Ori
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,42,GTD,NTE Sport,Audi R8 LMS GT3,Alan Metni,Andrew Davis,JR Hildebrand,Don Yount,,NTE Sport Audi R8 LMS GT3 | GTD | 1.Alan Metni 3.JR Hildebrand | 2.Andrew Davis 4.Don Yount
