year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01,GTP,Cadillac Racing,Cadillac V-Series.R,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac V-Series.R | GTP | 1.Renger van der Zande | 2.Sebastien Bourdais
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTDPRO | 1.Bryan Sellers | 2.Madison Snow
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Antonio Garcia,Alexander Sims,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Antonio Garcia | 2.Alexander Sims
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Tommy Milner,Nicky Catsburg,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Tommy Milner | 2.Nicky Catsburg
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,5,GTP,Proton Competition Mustang Sampling,Porsche 963,Gianmaria Bruni,Bent Viscaal,,,,Proton Competition Mustang Porsche 963 | Sampling GTP | 1.Gianmaria Bruni | 2.Bent Viscaal
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Nick Tandy,Mathieu Jaminet,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Nick Tandy | 2.Mathieu Jaminet
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Dane Cameron,Felipe Nasr,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Dane Cameron | 2.Felipe Nasr
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,9,GTD PRO,Pfaff Motorsports McLaren,720S GT3 EVO,Marvin Kirchhöfer,Oliver Jarvis,,,,Pfaff Motorsports McLaren 720S GT3 EVO | GTDPRO | 1.Marvin Kirchhöfer | 2.Oliver Jarvis
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,10,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,,,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Ricky Taylor | 2.Filipe Albuquerque
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,14,GTD PRO,VasserSullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,,,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth | 2.Ben Barnicoat
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,15,GTD PRO,VasserSullivan,Lexus RC F GT3,Parker Thompson,Frankie Montecalvo,,,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Parker Thompson | 2.Frankie Montecalvo
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,23,GTD PRO,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Ross Gunn,Alex Riberas,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTDPRO | 1.Ross Gunn | 2.Alex Riberas
