year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,51,LMP2,Inter Europol Competition,ORECA 07,Austin McCusker,Jakub Smiechowski,Rob Hodes,,,Inter Europol Competition ORECA LMP2 07 | LMP2 | 1.Austin McCusker 3.Rob Hodes | 2.Jakub Smiechowski
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Patrick Kelly,Simon Trummer,Scott Huffaker,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Patrick Kelly 3.Scott Huffaker | 2.Simon Trummer
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,55,DPi,Mazda Motorsports,Mazda,Jonathan Bomarito,Harry Tincknell,Ryan Hunter-Reay,,,Mazda Motorsports Mazda DPi | DPi | 1.Jonathan Bomarito 3.Ryan Hunter-Reay | 2.Harry Tincknell
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,57,GTD,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Alvaro Parente,Misha Goikhberg,Trent Hindman,,,Heinricher Racing w/MSR Acura NSX GT3 | Curb-Agajanian GTD | 1.Alvaro Parente 3.Trent Hindman | 2.Misha Goikhberg
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Alessandro Balzan,Jeff Westphal,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil 3.Jeff Westphal | 2.Alessandro Balzan
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,74,GTD,Riley Motorsports,Mercedes-AMG GT3,Gar Robinson,Lawson Aschenbach,Ben Keating,,,Riley Motorsports Mercedes-AMG GT3 | GTD | 1.Gar Robinson 3.Ben Keating | 2.Lawson Aschenbach
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,77,DPi,Mazda Motorsports,Mazda,Oliver Jarvis,Tristan Nunez,Olivier Pla,,,Mazda Motorsports Mazda DPi | DPi | 1.Oliver Jarvis 3.Olivier Pla | 2.Tristan Nunez
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Chris Miller,Matheus Leist,Gabriel Aubry,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Chris Miller 3.Gabriel Aubry | 2.Matheus Leist
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,86,GTD,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Matt McMurry,Shinya Michimi,,,Meyer Shank Racing Acura NSX GT3 | w/Curb-Agajanian GTD | 1.Mario Farnbacher 3.Shinya Michimi | 2.Matt McMurry
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,Dillon Machavern,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen 3.Dillon Machavern | 2.Robby Foley
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,911,GTLM,Porsche GT Team,Porsche RSR - 19,Nick Tandy,Fred Makowiecki,Matt Campbell,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Nick Tandy 3.Matt Campbell | 2.Fred Makowiecki
2020,12_Motul Petit Le Mans,Motul Petit Le Mans,motul-petit-le-mans,2020-10-17,202010171240_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR - 19,Earl Bamber,Laurens Vanthoor,Mathieu Jaminet,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Earl Bamber 3.Mathieu Jaminet | 2.Laurens Vanthoor
