year,event_code,event_name,track_slug,series_directory,session_directory,race_date,release_directory,release_hour,report_name,report_url,selected_for_parse,excluded_reason
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,01_IMSA WeatherTech SportsCar Championship,201609171135_Race,2016-09-17,,,20_Drive Time.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/19_Circuit%20of%20the%20Americas/01_IMSA%20WeatherTech%20SportsCar%20Championship/201609171135_Race/20_Drive%20Time.PDF,True,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,01_IMSA WeatherTech SportsCar Championship,201609171135_Race,2016-09-17,,,20_PitStops_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/19_Circuit%20of%20the%20Americas/01_IMSA%20WeatherTech%20SportsCar%20Championship/201609171135_Race/20_PitStops_Race.PDF,True,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,01_IMSA WeatherTech SportsCar Championship,201609171135_Race,2016-09-17,,,23_Analysis_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/19_Circuit%20of%20the%20Americas/01_IMSA%20WeatherTech%20SportsCar%20Championship/201609171135_Race/23_Analysis_Race.PDF,True,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,01_IMSA WeatherTech SportsCar Championship,201609171135_Race,2016-09-17,,,26_Weather.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/19_Circuit%20of%20the%20Americas/01_IMSA%20WeatherTech%20SportsCar%20Championship/201609171135_Race/26_Weather.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,01_Grid_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/01_Grid_Race.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,01_Starting Grid.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/01_Starting%20Grid.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,03_Results.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/03_Results.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,05_Results by Class.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/05_Results%20by%20Class.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,05_Results by Fastest Lap.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/05_Results%20by%20Fastest%20Lap.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,07_ Driver Fastest Lap.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/07_%20Driver%20Fastest%20Lap.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,07_Driver Fastest Lap Overall by Class.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/07_Driver%20Fastest%20Lap%20Overall%20by%20Class.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,12_LapChart.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/12_LapChart.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,13_BestSectors_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/13_BestSectors_Race.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,15_EventMaxiumSpeed_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/15_EventMaxiumSpeed_Race.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,15_LeaderSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/15_LeaderSequence_Race.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,16_Average Distance And Speed.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/16_Average%20Distance%20And%20Speed.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,17_FastestLapSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/17_FastestLapSequence_Race.PDF,True,
2016,13_Lime Rock,Lime Rock,lime-rock,01_IMSA WeatherTech SportsCar Championship,201607231505_Race,2016-07-23,,,19_AnalysisByLap_Race.PDF,https://imsa.results.alkamelcloud.com/Results/16_2016/13_Lime%20Rock/01_IMSA%20WeatherTech%20SportsCar%20Championship/201607231505_Race/19_AnalysisByLap_Race.PDF,True,
