year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,time_cards,rows,pass,1777,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,time_cards,duplicate_car_lap_keys,pass,0,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,time_cards,rows_without_car_header,pass,0,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,time_cards,elapsed_delta_match_rate,pass,1.000000,1756/1756
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,time_cards,lap_number_gaps,pass,0,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,analysis_by_lap,rows,pass,1777,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,analysis_by_lap,duplicate_car_lap_keys,pass,0,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,analysis_by_lap,unmatched_analysis_rows,pass,0,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,analysis_by_lap,rows_without_lap_header,pass,0,
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,analysis_by_lap,time_card_key_coverage,pass,1.000000,1777/1777
2016,16_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2016-08-28,201608281335_Race,analysis_by_lap,lap_time_match_rate,pass,1.000000,1777/1777
