year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,65,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Christopher Mies,Frederic Vervisch,,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Christopher Mies | 2.Frederic Vervisch
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,66,GTD,Gradient Racing,Ford Mustang GT3,Jenson Altzman,Robert Megennis,,,,Gradient Racing Ford Mustang GT3 | GTD | 1.Jenson Altzman | 2.Robert Megennis
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,70,GTD,Inception Racing,Ferrari 296 GT3,Brendan Iribe,Frederik Schandorff,,,,Inception Racing Ferrari 296 GT3 | GTD | 1.Brendan Iribe | 2.Frederik Schandorff
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,73,LMP2,Pratt Miller Motorsports,ORECA 07,Pietro Fittipaldi,Chris Cumming,,,,Pratt Miller Motorsports ORECA LMP2 07 | LMP2 | 1.Pietro Fittipaldi | 2.Chris Cumming
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,74,LMP2,Riley,ORECA 07,Gar Robinson,Felipe Fraga,,,,Riley ORECA LMP2 07 | LMP2 | 1.Gar Robinson | 2.Felipe Fraga
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,77,GTD PRO,AO Racing Porsche,911 GT3 R (992),Laurin Heinrich,Klaus Bachler,,,,AO Racing Porsche 911 GT3 R (992) | GTDPRO | 1.Laurin Heinrich | 2.Klaus Bachler
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,78,GTD,Forte Racing Lamborghini,Huracan GT3 EVO2,Misha Goikhberg,Mario Farnbacher,,,,Forte Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Misha Goikhberg | 2.Mario Farnbacher
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,79,LMP2,JDC-Miller MotorSports,ORECA 07,Gerry Kraut,Scott Andrews,,,,JDC-Miller MotorSports ORECA LMP2 07 | LMP2 | 1.Gerry Kraut | 2.Scott Andrews
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,81,GTD PRO,DragonSpeed,Ferrari 296 GT3,Albert Costa,Giacomo Altoè,,,,DragonSpeed Ferrari 296 GT3 | GTDPRO | 1.Albert Costa | 2.Giacomo Altoè
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,85,GTP,JDC Miller MotorSports,Porsche 963,Tijmen van der Helm,Gianmaria Bruni,,,,JDC Miller MotorSports Porsche 963 | GTP | 1.Tijmen van der Helm | 2.Gianmaria Bruni
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,88,LMP2,Af Corse,ORECA 07,Luis Perez Companc,Matias Perez Companc,,,,Af Corse ORECA LMP2 07 | LMP2 | 1.Luis Perez Companc | 2.Matias Perez Companc
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,93,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Renger van der Zande,Nick Yelloly,,,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Renger van der Zande | 2.Nick Yelloly
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,96,GTD,Turner Motorsport,BMW M4 GT3 EVO,Patrick Gallagher,Robby Foley,,,,Turner Motorsport BMW M4 GT3 EVO | GTD | 1.Patrick Gallagher | 2.Robby Foley
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,99,LMP2,AO Racing,ORECA 07,PJ Hyett,Dane Cameron,,,,AO Racing ORECA LMP2 07 | LMP2 | 1.PJ Hyett | 2.Dane Cameron
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,120,GTD,Wright Motorsports Porsche,911 GT3 R (992),Adam Adelson,Elliott Skeer,,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Adam Adelson | 2.Elliott Skeer
