year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,Nicky Catsburg,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia 3.Nicky Catsburg | 2.Jordan Taylor
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,5,DPi,Mustang Sampling Racing / JDC-Miller MotorSports,Cadillac,Tristan Vautier,Sebastien Bourdais,Loic Duval,,,Mustang Sampling Racing / Cadillac DPi | JDC-Miller MotorSports DPi | 1.Tristan Vautier 3.Loic Duval | 2.Sebastien Bourdais
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,6,DPi,ACURA TEAM PENSKE,Acura,Juan Pablo Montoya,Dane Cameron,Simon Pagenaud,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Juan Pablo Montoya 3.Simon Pagenaud | 2.Dane Cameron
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,7,DPi,ACURA TEAM PENSKE,Acura,Helio Castroneves,Ricky Taylor,Alexander Rossi,,,ACURA TEAM PENSKE Acura DPi | DPi | 1.Helio Castroneves 3.Alexander Rossi | 2.Ricky Taylor
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,8,LMP2,Tower Motorsport by Starworks,ORECA 07,John Farano,Mikkel Jensen,David Heinemeier Hansson,,,Tower Motorsport by Starworks ORECA LMP2 07 | LMP2 | 1.John Farano 3.David Heinemeier Hansson | 2.Mikkel Jensen
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac,Renger van der Zande,Ryan Briscoe,Scott Dixon,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | DPi | 1.Renger van der Zande 3.Scott Dixon | 2.Ryan Briscoe
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,11,GTD,GRT Grasser Racing Team Lamborghini,Huracan GT3,Richard Heistand,Steijn Schothorst,Franck Perera,,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Richard Heistand 3.Franck Perera | 2.Steijn Schothorst
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,12,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,Townsend Bell,Michael De Quesada,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Michael De Quesada | 2.Townsend Bell
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,14,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,Jack Hawksworth,Kyle Kirkwood,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Aaron Telitz 3.Kyle Kirkwood | 2.Jack Hawksworth
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Patrick Long,Jan Heylen,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick 3.Jan Heylen | 2.Patrick Long
