year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,Dion von Moltke,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Dion von Moltke | 2.Madison Snow
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,50,GTD,Riley Motorsports - WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,Gunnar Jeannette,Shane Van Gisbergen,,,Riley Motorsports - WeatherTech Racing Mercedes-AMG GT3 | GTD | 1.Cooper MacNeil 3.Shane Van Gisbergen | 2.Gunnar Jeannette
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,52,P,PR1/Mathiasen Motorsports,Ligier,Michael Guasch,Jose Gutierrez,Tom Kimber-Smith,,,PR1/Mathiasen Motorsports Ligier | P | 1.Michael Guasch 3.Tom Kimber-Smith | 2.Jose Gutierrez
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,54,GTD,CORE autosport,Porsche 911 GT3 R,Jonathan Bennett,Colin Braun,Nic Jonsson,,,CORE autosport Porsche 911 GT3 R | GTD | 1.Jonathan Bennett 3.Nic Jonsson | 2.Colin Braun
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,55,DPi,Mazda Motorsports,Mazda P,Tristan Nunez,Jonathan Bomarito,Spencer Pigot,,,Mazda Motorsports Mazda DPi | P | 1.Tristan Nunez 3.Spencer Pigot | 2.Jonathan Bomarito
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,57,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,Matt Bell,Andrew Davis,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Lawson Aschenbach 3.Andrew Davis | 2.Matt Bell
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Toni Vilander,James Calado,Giancarlo Fisichella,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Toni Vilander 3.Giancarlo Fisichella | 2.James Calado
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,Alessandro Balzan,Matteo Cressoni,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Christina Nielsen 3.Matteo Cressoni | 2.Alessandro Balzan
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,Joey Hand,Sebastien Bourdais,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Dirk Mueller 3.Sebastien Bourdais | 2.Joey Hand
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,Scott Dixon,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe 3.Scott Dixon | 2.Richard Westbrook
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,68,GTLM,Ford Chip Ganassi Team UK,Ford GT,Stefan Mucke,Olivier Pla,Billy Johnson,,,Ford Chip Ganassi Team UK Ford GT | GTLM | 1.Stefan Mucke 3.Billy Johnson | 2.Olivier Pla
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,70,DPi,Mazda Motorsports,Mazda P,Tom Long,Joel Miller,Marino Franchitti,,,Mazda Motorsports Mazda DPi | P | 1.Tom Long 3.Marino Franchitti | 2.Joel Miller
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Joerg Bergmeister,Matthew McMurry,Jan Heylen,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey 3.Matthew McMurry | 2.Joerg Bergmeister 4.Jan Heylen
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Tristan Vautier,Kenny Habul,Boris Said,,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Tristan Vautier 3.Boris Said | 2.Kenny Habul
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,85,P,JDC-Miller Motorsports,ORECA,Chris Miller,Stephen Simpson,Misha Goikhberg,,,JDC-Miller Motorsports ORECA | P | 1.Chris Miller 3.Misha Goikhberg | 2.Stephen Simpson
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,86,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Jeff Segal,Oswaldo Negri Jr.,Tom Dyer,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Jeff Segal 3.Tom Dyer | 2.Oswaldo Negri Jr.
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,90,P,VisitFlorida Racing,Multimatic/Riley,Marc Goossens,Renger Van Der Zande,Rene Rast,,,VisitFlorida Racing Multimatic/Riley | P | 1.Marc Goossens 3.Rene Rast | 2.Renger Van Der Zande
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,93,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Andy Lally,Katherine Legge,Mark Wilkins,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Andy Lally 3.Mark Wilkins | 2.Katherine Legge
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Justin Marks,Jens Klingmann,Jesse Krohn,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Justin Marks 3.Jesse Krohn | 2.Jens Klingmann
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Dirk Werner,Frederic Makowiecki,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet 3.Frederic Makowiecki | 2.Dirk Werner
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Kevin Estre,Laurens Vanthoor,Richard Lietz,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Kevin Estre 3.Richard Lietz | 2.Laurens Vanthoor
