year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,1,R. van der Zande,12:11:07.472,12:45:42.510,TRACK,34:35.038,34:35.038,34:35.038,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,26,R. van der Zande,12:45:42.510,12:46:43.563,PIT,1:01.053,34:35.038,35:36.091,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,2,R. van der Zande,12:46:43.563,13:26:51.099,TRACK,40:07.536,1:14:42.574,1:15:43.627,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,49,R. van der Zande,13:26:51.099,13:27:48.557,PIT,57.458,1:14:42.574,1:16:41.085,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,3,R. van der Zande,13:27:48.557,14:20:32.263,TRACK,52:43.706,2:07:26.280,2:09:24.791,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,85,,14:20:32.263,14:21:39.775,PIT,1:07.512,1:07.512,1:07.512,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,4,S. Dixon,14:21:39.775,14:38:35.598,TRACK,16:55.823,16:55.823,16:55.823,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,96,S. Dixon,14:38:35.598,14:39:39.865,PIT,1:04.267,16:55.823,18:00.090,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,5,S. Dixon,14:39:39.865,15:20:28.737,TRACK,40:48.872,57:44.695,58:48.962,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,125,S. Dixon,15:20:28.737,15:21:32.180,PIT,1:03.443,57:44.695,59:52.405,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,6,S. Dixon,15:21:32.180,16:01:56.024,TRACK,40:23.844,1:38:08.539,1:40:16.249,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,155,,16:01:56.024,16:03:00.783,PIT,1:04.759,2:12.271,1:04.759,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,7,E. Bamber,16:03:00.783,16:31:51.242,TRACK,28:50.459,28:50.459,28:50.459,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,166,E. Bamber,16:31:51.242,16:32:48.209,PIT,56.967,28:50.459,29:47.426,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,8,E. Bamber,16:32:48.209,17:20:09.490,TRACK,47:21.281,1:16:11.740,1:17:08.707,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,200,E. Bamber,17:20:09.490,17:21:15.958,PIT,1:06.468,1:16:11.740,1:18:15.175,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,9,E. Bamber,17:21:15.958,17:22:33.642,TRACK,1:17.684,1:17:29.424,1:19:32.859,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,201,E. Bamber,17:22:33.642,17:23:25.190,PIT,51.548,1:17:29.424,1:20:24.407,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,10,E. Bamber,17:23:25.190,17:28:43.491,TRACK,5:18.301,1:22:47.725,1:25:42.708,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,204,E. Bamber,17:28:43.491,17:30:25.507,PIT,1:42.016,1:22:47.725,1:27:24.724,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,11,E. Bamber,17:30:25.507,18:14:34.262,TRACK,44:08.755,2:06:56.480,2:11:33.479,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,235,E. Bamber,18:14:34.262,18:15:38.178,PIT,1:03.916,2:06:56.480,2:12:37.395,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,12,E. Bamber,18:15:38.178,18:58:20.767,TRACK,42:42.589,2:49:39.069,2:55:19.984,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,264,,18:58:20.767,18:59:25.090,PIT,1:04.323,3:16.594,1:04.323,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,13,S. Dixon,18:59:25.090,19:42:19.408,TRACK,42:54.318,2:21:02.857,2:23:10.567,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,296,S. Dixon,19:42:19.408,19:43:27.529,PIT,1:08.121,2:21:02.857,2:24:18.688,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,14,S. Dixon,19:43:27.529,19:50:26.690,TRACK,6:59.161,2:28:02.018,2:31:17.849,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,299,S. Dixon,19:50:26.690,19:53:41.111,PIT,3:14.421,2:28:02.018,2:34:32.270,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,15,S. Dixon,19:53:41.111,20:35:40.091,TRACK,41:58.980,3:10:00.998,3:16:31.250,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,331,,20:35:40.091,20:36:47.061,PIT,1:06.970,4:23.564,1:06.970,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,16,R. van der Zande,20:36:47.061,20:59:35.351,TRACK,22:48.290,2:30:14.570,2:32:13.081,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,350,R. van der Zande,20:59:35.351,21:00:29.205,PIT,53.854,2:30:14.570,2:33:06.935,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,17,R. van der Zande,21:00:29.205,21:35:03.687,TRACK,34:34.482,3:04:49.052,3:07:41.417,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,379,R. van der Zande,21:35:03.687,21:36:10.112,PIT,1:06.425,3:04:49.052,3:08:47.842,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,01,Cadillac Chip Ganassi Racing | Cadillac DPi DPi,18,R. van der Zande,21:36:10.112,22:11:07.472,TRACK,34:57.360,3:39:46.412,3:43:45.202,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,1,M. Snow,12:11:07.472,12:48:15.197,TRACK,37:07.725,37:07.725,37:07.725,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,25,M. Snow,12:48:15.197,12:49:13.761,PIT,58.564,37:07.725,38:06.289,20_Drive Time_Race.PDF,1,1
2021,22_Road Atlanta,Road Atlanta,road-atlanta,2021-11-13,202111131210_Race,1,Paul Miller Racing | Lamborghini Huracan GT3 GTD,2,M. Snow,12:49:13.761,13:29:38.299,TRACK,40:24.538,1:17:32.263,1:18:30.827,20_Drive Time_Race.PDF,1,1
