year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Long,Marco Seefried,,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Long | 2.Marco Seefried
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,74,GTD,Lone Star Racing,Mercedes-AMG,Gar Robinson V,Lawson Aschenbach,,,,Lone Star Racing Mercedes-AMG | GTD | 1.Gar Robinson V | 2.Lawson Aschenbach
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,76,GTD,Compass Racing,McLaren 720S GT3,Paul Holton,Matt Plumb,,,,Compass Racing McLaren 720S GT3 | GTD | 1.Paul Holton | 2.Matt Plumb
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,77,DPi,Mazda Team Joest,Mazda,Oliver Jarvis,Tristan Nunez,,,,Mazda Team Joest Mazda DPi | DPi | 1.Oliver Jarvis | 2.Tristan Nunez
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,84,DPi,JDC-Miller MotorSports,Cadillac,Simon Trummer,Stephen Simpson,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Simon Trummer | 2.Stephen Simpson
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Misha Goikhberg,Tristan Vautier,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Misha Goikhberg | 2.Tristan Vautier
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,86,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Trent Hindman,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Mario Farnbacher | 2.Trent Hindman
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen | 2.Robby Foley
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Nick Tandy,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet | 2.Nick Tandy
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Earl Bamber,Laurens Vanthoor,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Earl Bamber | 2.Laurens Vanthoor
