year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,50,GTD,Riley Motorsports - WeatherTech Racing,Porsche 911 GT3 R,Cooper MacNeil,Gunnar Jeannette,,,,Riley Motorsports - WeatherTech Porsche 911 GT3 R | Racing GTD | 1.Cooper MacNeil | 2.Gunnar Jeannette
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,54,GTD,CORE autosport,Porsche 911 GT3 R,Jonathan Bennett,Colin Braun,,,,CORE autosport Porsche 911 GT3 R | GTD | 1.Jonathan Bennett | 2.Colin Braun
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,57,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,Andrew Davis,,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Lawson Aschenbach | 2.Andrew Davis
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,Toni Vilander,,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Giancarlo Fisichella | 2.Toni Vilander
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,Alessandro Balzan,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Christina Nielsen | 2.Alessandro Balzan
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,Joey Hand,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Dirk Mueller | 2.Joey Hand
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Joerg Bergmeister,,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey | 2.Joerg Bergmeister
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Tristan Vautier,Kenny Habul,,,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Tristan Vautier | 2.Kenny Habul
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,80,GTD,Lone Star Racing,Mercedes-AMG GT3,Dan Knox,Mike Skeen,,,,Lone Star Racing Mercedes-AMG GT3 | GTD | 1.Dan Knox | 2.Mike Skeen
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,86,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Jeff Segal,Oswaldo Negri Jr.,,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Jeff Segal | 2.Oswaldo Negri Jr.
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,93,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Andy Lally,Katherine Legge,,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Andy Lally | 2.Katherine Legge
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Jens Klingmann,Jesse Krohn,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Jens Klingmann | 2.Jesse Krohn
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Dirk Werner,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet | 2.Dirk Werner
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,Gianmaria Bruni,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Laurens Vanthoor | 2.Gianmaria Bruni
