year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,Toni Vilander,,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Giancarlo Fisichella | 2.Toni Vilander
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,Alessandro Balzan,Jeff Segal,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Christina Nielsen 3.Jeff Segal | 2.Alessandro Balzan
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand | 2.Dirk Mueller
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,68,GTLM,Scuderia Corsa,Ferrari 488 GTE,Alessandro Pier Guidi,Daniel Serra,,,,Scuderia Corsa Ferrari 488 GTE | GTLM | 1.Alessandro Pier Guidi | 2.Daniel Serra
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,70,P,Mazda Motorsports,Mazda Mazda,Tom Long,Joel Miller,Ben Devlin,,,Mazda Motorsports Mazda Mazda | P | 1.Tom Long 3.Ben Devlin | 2.Joel Miller
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Jorg Bergmeister,Matthew McMurry,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey 3.Matthew McMurry | 2.Jorg Bergmeister
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,85,PC,JDC-Miller Motorsports,Chevrolet ORECA FLM09,Misha Goikhberg,Stephen Simpson,Chris Miller,,,JDC-Miller Motorsports Chevrolet ORECA FLM09 | PC | 1.Misha Goikhberg 3.Chris Miller | 2.Stephen Simpson
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,88,PC,Starworks Motorsports,Chevrolet ORECA FLM09,Mark Kvamme,Remo Ruscitti,Richard Bradley,,,Starworks Motorsports Chevrolet ORECA FLM09 | PC | 1.Mark Kvamme 3.Richard Bradley | 2.Remo Ruscitti
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,90,P,VisitFlorida.com Racing,Chevrolet Corvette DP,Marc Goossens,Ryan Dalziel,,,,VisitFlorida.com Racing Chevrolet Corvette DP | P | 1.Marc Goossens | 2.Ryan Dalziel
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bret Curtis,Jens Klingmann,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bret Curtis | 2.Jens Klingmann
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,97,GTD,Turner Motorsport,BMW M6 GT3,Michael Marsal,Markus Palttala,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Michael Marsal | 2.Markus Palttala
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,100,GTLM,BMW Team RLL,BMW M6,John Edwards,Lucas Luhr,,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.John Edwards | 2.Lucas Luhr
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,540,GTD,Black Swan Racing,Porsche 911 GT3 R,Tim Pappas,Andy Pilgrim,Nicky Catsburg,,,Black Swan Racing Porsche 911 GT3 R | GTD | 1.Tim Pappas 3.Nicky Catsburg | 2.Andy Pilgrim
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,911,GTLM,Porsche North America,Porsche RSR,Patrick Pilet,Nick Tandy,,,,Porsche North America Porsche 911 RSR | GTLM | 1.Patrick Pilet | 2.Nick Tandy
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,912,GTLM,Porsche North America,Porsche 911 RSR,Earl Bamber,Frederic Makowiecki,,,,Porsche North America Porsche 911 RSR | GTLM | 1.Earl Bamber | 2.Frederic Makowiecki
