year,event_code,event_name,track_slug,race_date,session_directory,class_position,class,car_number,drivers,team,vehicle,laps,total_time,gap_to_class_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,1,GTD,63,C. Nielsen / A. Balzan / J. Segal,Scuderia Corsa,Ferrari 488 GT3,185,6:01:56.048,,,,183,1:44.221,117.4,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,2,GTD,44,J. Potter / A. Lally / D. von Moltke,Magnus Racing,Audi R8 LMS GT3,185,6:01:57.885,1.837,1.837,,183,1:44.279,117.3,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,3,GTD,23,M. Farnbacher / A. Riberas / I. James,Team Seattle / Alex Job Racing,Porsche 911 GT3 R,185,6:01:59.011,2.963,1.126,,182,1:44.477,117.1,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,4,GTD,33,B. Keating / J. Bleekemolen,Riley Motorsports,Dodge Viper GT3-R,184,6:00:22.906,1 Laps,1 Laps,,181,1:45.545,115.9,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,5,GTD,22,C. MacNeil / L. Keen / G. Jeannette,Alex Job Racing,Porsche 911 GT3 R,184,6:00:25.860,1 Laps,2.954,,81,1:45.233,116.3,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,6,GTD,9,L. Aschenbach / M. Bell,Stevenson Motorsports,Audi R8 LMS GT3,184,6:00:46.022,1 Laps,20.162,,184,1:44.664,116.9,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,7,GTD,540,T. Pappas / A. Pilgrim / N. Catsburg,Black Swan Racing,Porsche 911 GT3 R,184,6:00:50.028,1 Laps,4.006,,183,1:44.943,116.6,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,8,GTD,73,P. Lindsey / J. Bergmeister / M. McMurry,Park Place Motorsports,Porsche 911 GT3 R,173,6:02:02.543,12 Laps,11 Laps,,172,1:44.866,116.6,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,9,GTD,16,C. Lewis / S. Pumpelly,Change Racing,Lamborghini Huracan GT3,168,5:30:22.152,17 Laps,5 Laps,,162,1:44.994,116.5,05_ClassificationByClass_Race.PDF,1
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,10,GTD,97,M. Marsal / M. Palttala,Turner Motorsport,BMW M6 GT3,160,6:00:28.207,25 Laps,8 Laps,,111,1:46.111,115.3,05_ClassificationByClass_Race.PDF,1
