year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,38,LMP3,Performance Tech Motorsports,Ligier JS P320,John DeAngelis,Christopher Allen,Connor Bloum,Cameron Shields,,Performance Tech Motorsports Ligier JS P320 | LMP3 | 1.John DeAngelis 3.Connor Bloum | 2.Christopher Allen 4.Cameron Shields
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,42,GTD,NTE Sport Lamborghini,Huracan GT3 EVO2,Robert Megennis,Jaden Conwright,Kerong Li,Alessio Deledda,,NTE Sport Lamborghini Huracan GT3 EVO2 | GTD | 1.Robert Megennis 3.Kerong Li | 2.Jaden Conwright 4.Alessio Deledda
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,43,LMP3,MRS GT-Racing,Ligier JS P320,Sebastian Alvarez,James French,Guilherme de Oliveira,Danial Frost,,MRS GT-Racing Ligier JS P320 | LMP3 | 1.Sebastian Alvarez 3.Guilherme de Oliveira | 2.James French 4.Danial Frost
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,44,GTD,Magnus Racing Aston,Martin Vantage GT3,John Potter,Andy Lally,Spencer Pumpelly,Nicki Thiim,,Magnus Racing Aston Martin Vantage GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally 4.Nicki Thiim
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,47,GTD,CETILAR RACING,Ferrari 296 GT3,Roberto Lacorte,Giorgio Sernagiotto,Antonio Fuoco,Alessandro Balzan,,CETILAR RACING Ferrari 296 GT3 | GTD | 1.Roberto Lacorte 3.Antonio Fuoco | 2.Giorgio Sernagiotto 4.Alessandro Balzan
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,51,LMP2,Rick Ware Racing,ORECA 07,Eric Lux,Devlin Defrancesco,Austin Cindric,Pietro Fittipaldi,,Rick Ware Racing ORECA LMP2 07 | LMP2 | 1.Eric Lux 3.Austin Cindric | 2.Devlin Defrancesco 4.Pietro Fittipaldi
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Ben Keating,Paul-Loup Chatin,Alex Quinn,Nicolas Lapierre,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Ben Keating 3.Alex Quinn | 2.Paul-Loup Chatin 4.Nicolas Lapierre | Page 203 / 339
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,53,GTD PRO,MDK Motorsports Porsche,911 GT3 R (992),Mark Kvamme,Trenton Estep,Jan Magnussen,Jason Hart,,MDK Motorsports Porsche 911 GT3 R (992) | GTDPRO | 1.Mark Kvamme 3.Jan Magnussen | 2.Trenton Estep 4.Jason Hart
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,55,LMP2,Proton Competition,ORECA 07,Fred Poordad,Francesco Pizzi,James Allen,Giammaria Bruni,,Proton Competition ORECA LMP2 07 | LMP2 | 1.Fred Poordad 3.James Allen | 2.Francesco Pizzi 4.Giammaria Bruni
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,Indy Dontje,Daniel Morad,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward 3.Indy Dontje | 2.Philip Ellis 4.Daniel Morad
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,60,GTP,Meyer Shank Racing w/ Curb Agajanian,Acura ARX-06,Tom Blomqvist,Colin Braun,Helio Castroneves,Simon Pagenaud,,Meyer Shank Racing w/ Curb Acura ARX-06 | Agajanian GTP | 1.Tom Blomqvist 3.Helio Castroneves | 2.Colin Braun 4.Simon Pagenaud
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,62,GTD PRO,Risi Competizione,Ferrari 296 GT3,Alessandro Pier Guidi,James Calado,Daniel Serra,Davide Rigon,,Risi Competizione Ferrari 296 GT3 | GTDPRO | 1.Alessandro Pier Guidi 3.Daniel Serra | 2.James Calado 4.Davide Rigon
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,63,GTD PRO,Iron Lynx Lamborghini,Huracan GT3 EVO2,Andrea Caldarelli,Mirko Bortolotti,Jordan Pepper,Romain Grosjean,,Iron Lynx Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Andrea Caldarelli 3.Jordan Pepper | 2.Mirko Bortolotti 4.Romain Grosjean
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,64,GTD PRO,TGM/TF Sport Aston,Martin Vantage GT3,Ted Giovanis,Hugh Plumb,Matt Plumb,Owen Trinkler,,TGM/TF Sport Aston Martin Vantage GT3 | GTDPRO | 1.Ted Giovanis 3.Matt Plumb | 2.Hugh Plumb 4.Owen Trinkler
