year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,12,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Townsend Bell,Michael De Quesada,,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Townsend Bell | 2.Michael De Quesada
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,14,GTD,AIM VASSER SULLIVAN,Lexus RC F GT3,Aaron Telitz,Jack Hawksworth,,,,AIM VASSER SULLIVAN Lexus RC F GT3 | GTD | 1.Aaron Telitz | 2.Jack Hawksworth
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Patrick Long,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Patrick Long
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,22,GTD,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,Marc Miller,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Till Bechtolsheimer | 2.Marc Miller
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,23,GTD,Heart Of Racing Team Aston,Martin Vantage GT3,Ian James,Roman De Angelis,,,,Heart Of Racing Team Aston Martin Vantage GT3 | GTD | 1.Ian James | 2.Roman De Angelis
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Bruno Spengler,Connor De Phillippi,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Bruno Spengler | 2.Connor De Phillippi
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,30,GTD,Team Hardpoint,Audi R8 LMS GT3,Rob Ferriol,Spencer Pumpelly,,,,Team Hardpoint Audi R8 LMS GT3 | GTD | 1.Rob Ferriol | 2.Spencer Pumpelly
2020,11_Charlotte Motor Speedway,Charlotte Motor Speedway,charlotte-motor-speedway,2020-10-10,202010102105_Race,44,GTD,GRT Magnus Lamborghini,Huracan GT3,John Potter,Andy Lally,,,,GRT Magnus Lamborghini Huracan GT3 | GTD | 1.John Potter | 2.Andy Lally
