year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,32,GTD,Korthoff/Preston Motorsports,Mercedes-AMG GT3,Mikael Grenier,Kenton Koch,,,,Korthoff/Preston Motorsports Mercedes-AMG GT3 | GTD | 1.Mikael Grenier | 2.Kenton Koch
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,33,LMP2,Sean Creech Motorsport,Ligier JS P217,Tonis Kasemets,Joao Barbosa,,,,Sean Creech Motorsport Ligier JS P217 | LMP2 | 1.Tonis Kasemets | 2.Joao Barbosa
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Albert Costa Balboa,Manny Franco,,,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Albert Costa Balboa | 2.Manny Franco
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,35,GTD PRO,Conquest Racing,Ferrari 296 GT3,Giacomo Altoe,Daniel Serra,,,,Conquest Racing Ferrari 296 GT3 | GTDPRO | 1.Giacomo Altoe | 2.Daniel Serra
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,40,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Louis Deletraz,Jordan Taylor,,,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Louis Deletraz | 2.Jordan Taylor
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,45,GTD,Wayne Taylor Racing with Andretti Lamborghini,Huracan GT3 EVO2,Danny Formal,Sandy Mitchell,,,,Wayne Taylor Racing with Andretti Lamborghini Huracan GT3 EVO2 | GTD | 1.Danny Formal | 2.Sandy Mitchell
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,52,LMP2,Inter Europol by PR1 Mathiasen Motorsports,ORECA 07,Tom Dillmann,Nick Boulle,,,,Inter Europol by PR1 Mathiasen ORECA LMP2 07 | Motorsports LMP2 | 1.Tom Dillmann | 2.Nick Boulle
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,55,GTD,Proton Competition,Ford Mustang GT3,Corey Lewis,Giammarco Levorato,,,,Proton Competition Ford Mustang GT3 | GTD | 1.Corey Lewis | 2.Giammarco Levorato
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,57,GTD,WINWARD RACING,Mercedes-AMG GT3,Philip Ellis,Russell Ward,,,,WINWARD RACING Mercedes-AMG GT3 | GTD | 1.Philip Ellis | 2.Russell Ward
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,64,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Mike Rockenfeller,Harry Tincknell,,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Mike Rockenfeller | 2.Harry Tincknell
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,65,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Dirk Mueller,Joey Hand,,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Dirk Mueller | 2.Joey Hand
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,66,GTD,Gradient Racing,Acura NSX GT3,Stevan McAleer,Sheena Monk,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Stevan McAleer | 2.Sheena Monk
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,70,GTD,Inception Racing McLaren,720S GT3 EVO,Frederik Schandorff,Brendan Iribe,,,,Inception Racing McLaren 720S GT3 EVO | GTD | 1.Frederik Schandorff | 2.Brendan Iribe
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,74,LMP2,Riley,ORECA 07,Felipe Fraga,Gar Robinson,,,,Riley ORECA LMP2 07 | LMP2 | 1.Felipe Fraga | 2.Gar Robinson
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,77,GTD PRO,AO Racing Porsche,911 GT3 R (992),Julien Andlauer,Laurin Heinrich,,,,AO Racing Porsche 911 GT3 R (992) | GTDPRO | 1.Julien Andlauer | 2.Laurin Heinrich
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,78,GTD,Forte Racing Lamborghini,Huracan GT3 EVO2,Loris Spinelli,Misha Goikhberg,,,,Forte Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Loris Spinelli | 2.Misha Goikhberg
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,79,LMP2,JDC-Miller MotorSports,ORECA 07,Scott Andrews,Gerry Kraut,,,,JDC-Miller MotorSports ORECA LMP2 07 | LMP2 | 1.Scott Andrews | 2.Gerry Kraut
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,85,GTP,JDC-Miller MotorSports,Porsche 963,Richard Westbrook,Tijmen van der Helm,,,,JDC-Miller MotorSports Porsche 963 | GTP | 1.Richard Westbrook | 2.Tijmen van der Helm
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,86,GTD,MDK Motorsports Porsche,911 GT3 R (992),Anders Fjordbach,Kerong Li,,,,MDK Motorsports Porsche 911 GT3 R (992) | GTD | 1.Anders Fjordbach | 2.Kerong Li
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,88,LMP2,Richard Mille AF Corse,ORECA 07,Nicklas Nielsen,Luis Perez Companc,,,,Richard Mille AF Corse ORECA LMP2 07 | LMP2 | 1.Nicklas Nielsen | 2.Luis Perez Companc
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Patrick Gallagher,Robby Foley,,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Patrick Gallagher | 2.Robby Foley
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,99,LMP2,AO Racing,ORECA 07,Paul-Loup Chatin,PJ Hyett,,,,AO Racing ORECA LMP2 07 | LMP2 | 1.Paul-Loup Chatin | 2.PJ Hyett
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,120,GTD,Wright Motorsports Porsche,911 GT3 R (992),Elliott Skeer,Adam Adelson,,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Elliott Skeer | 2.Adam Adelson
