year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,01,GTP,Cadillac Racing,Cadillac V-Series.R,Sebastien Bourdais,Renger van der Zande,,,,Cadillac Racing Cadillac V-Series.R | GTP | 1.Sebastien Bourdais | 2.Renger van der Zande
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,11,LMP2,TDS Racing,ORECA 07,Steven Thomas,Mikkel Jensen,Scott Huffaker,,,TDS Racing ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Scott Huffaker | 2.Mikkel Jensen
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,12,GTD,Vasser Sullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,Parker Thompson,,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Parker Thompson | 2.Aaron Telitz
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,13,LMP3,AWA,Duqueine D08,Orey Fidani,Matthew Bell,Lars Kern,,,AWA Duqueine D08 | LMP3 | 1.Orey Fidani 3.Lars Kern | 2.Matthew Bell
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,14,GTD PRO,Vasser Sullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,,,,Vasser Sullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth | 2.Ben Barnicoat
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,16,GTD,Wright Motorsports Porsche,911 GT3 R (992),Ryan Hardwick,Zacharie Robichon,Jan Heylen,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Ryan Hardwick 3.Jan Heylen | 2.Zacharie Robichon
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,17,LMP3,AWA,Duqueine D08,Anthony Mantella,Wayne Boyd,Nico Varrone,,,AWA Duqueine D08 | LMP3 | 1.Anthony Mantella 3.Nico Varrone | 2.Wayne Boyd
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Ryan Dalziel,Christian Rasmussen,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman 3.Christian Rasmussen | 2.Ryan Dalziel
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,20,LMP2,High Class Racing,ORECA 07,Mark Kvamme,Ed Jones,Anders Fjordbach,,,High Class Racing ORECA LMP2 07 | LMP2 | 1.Mark Kvamme 3.Anders Fjordbach | 2.Ed Jones
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,023,GTD,Triarsi Competizione,Ferrari 296 GT3,Onofrio Triarsi,Charles Scardina,Alessio Rovera,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Onofrio Triarsi 3.Alessio Rovera | 2.Charles Scardina
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,23,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3,Ross Gunn,Alex Riberas,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTDPRO | 1.Ross Gunn | 2.Alex Riberas
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Connor De Phillippi,Nick Yelloly,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Connor De Phillippi | 2.Nick Yelloly
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Marco Sorensen,Ian James,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis 3.Ian James | 2.Marco Sorensen
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,30,LMP3,Jr III Racing,Ligier JS P320,Garett Grist,Dakota Dickerson,Dylan Murry,,,Jr III Racing Ligier JS P320 | LMP3 | 1.Garett Grist 3.Dylan Murry | 2.Dakota Dickerson
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,31,GTP,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,Pipo Derani,Alexander Sims,Jack Aitken,,,Whelen Engineering Cadillac Racing Cadillac V-Series.R | GTP | 1.Pipo Derani 3.Jack Aitken | 2.Alexander Sims
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Mikael Grenier,Kenton Koch,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen 3.Kenton Koch | 2.Mikael Grenier
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,33,LMP3,Sean Creech Motorsport,Ligier JS P320,Joao Barbosa,Nico Pino,Lance Willsey,,,Sean Creech Motorsport Ligier JS P320 | LMP3 | 1.Joao Barbosa 3.Lance Willsey | 2.Nico Pino
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,35,LMP2,TDS Racing,ORECA 07,John Falb,Giedo van der Garde,Josh Pierson,,,TDS Racing ORECA LMP2 07 | LMP2 | 1.John Falb 3.Josh Pierson | 2.Giedo van der Garde
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,36,LMP3,Andretti Autosport,Ligier JS P320,Jarett Andretti,Gabby Chaves,Glenn van Berlo,,,Andretti Autosport Ligier JS P320 | LMP3 | 1.Jarett Andretti 3.Glenn van Berlo | 2.Gabby Chaves
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,38,LMP3,Performance Tech Motorsports,Ligier JS P320,Christopher Allen,Connor Bloum,Alex Kirby,,,Performance Tech Motorsports Ligier JS P320 | LMP3 | 1.Christopher Allen 3.Alex Kirby | 2.Connor Bloum
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,42,GTD,NTE Sport LLC Lamborghini,Huracan GT3 EVO2,Jaden Conwright,Luke Berkeley,Rob Ferriol,,,NTE Sport LLC Lamborghini Huracan GT3 EVO2 | GTD | 1.Jaden Conwright 3.Rob Ferriol | 2.Luke Berkeley
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,44,GTD,Magnus Racing Aston,Martin Vantage GT3,John Potter,Andy Lally,Spencer Pumpelly,,,Magnus Racing Aston Martin Vantage GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,47,GTD,CETILAR RACING,Ferrari 296 GT3,Roberto Lacorte,Giorgio Sernagiotto,Antonio Fuoco,,,CETILAR RACING Ferrari 296 GT3 | GTD | 1.Roberto Lacorte 3.Antonio Fuoco | 2.Giorgio Sernagiotto
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,51,LMP2,Rick Ware Racing,ORECA 07,Eric Lux,Devlin Defrancesco,Pietro Fittipaldi,,,Rick Ware Racing ORECA LMP2 07 | LMP2 | 1.Eric Lux 3.Pietro Fittipaldi | 2.Devlin Defrancesco
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Ben Keating,Paul-Loup Chatin,Alex Quinn,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Ben Keating 3.Alex Quinn | 2.Paul-Loup Chatin
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,54,LMP3,MLT Motorsports,Ligier JS P320,Jason Rabe,Andrew Pinkerton,Stevan McAleer,,,MLT Motorsports Ligier JS P320 | LMP3 | 1.Jason Rabe 3.Stevan McAleer | 2.Andrew Pinkerton
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Raffaele Marciello,Indy Dontje,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward 3.Indy Dontje | 2.Raffaele Marciello
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,60,GTP,Meyer Shank Racing w/ Curb Agajanian,Acura ARX-06,Tom Blomqvist,Colin Braun,,,,Meyer Shank Racing w/ Curb Acura ARX-06 | Agajanian GTP | 1.Tom Blomqvist | 2.Colin Braun
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,61,GTD PRO,Af Corse,Ferrari 296 GT3,Simon Mann,Miguel Molina,Ulysse De Pauw,,,Af Corse Ferrari 296 GT3 | GTDPRO | 1.Simon Mann 3.Ulysse De Pauw | 2.Miguel Molina
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,62,GTD PRO,Risi Competizione,Ferrari 296 GT3,Daniel Serra,Davide Rigon,,,,Risi Competizione Ferrari 296 GT3 | GTDPRO | 1.Daniel Serra | 2.Davide Rigon
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,63,GTD PRO,Iron Lynx Lamborghini,Huracan GT3 EVO2,Andrea Caldarelli,Jordan Pepper,,,,Iron Lynx Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Andrea Caldarelli | 2.Jordan Pepper
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,66,GTD,Gradient Racing,Acura NSX GT3,Sheena Monk,Katherine Legge,Marc Miller,,,Gradient Racing Acura NSX GT3 | GTD | 1.Sheena Monk 3.Marc Miller | 2.Katherine Legge
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,70,GTD,Inception Racing McLaren,720S GT3 EVO,Brendan Iribe,Frederik Schandorff,Ollie Millroy,,,Inception Racing McLaren 720S GT3 EVO | GTD | 1.Brendan Iribe 3.Ollie Millroy | 2.Frederik Schandorff
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,74,LMP3,Riley,Ligier JS P320,Gar Robinson,Felipe Fraga,Josh Burdon,,,Riley Ligier JS P320 | LMP3 | 1.Gar Robinson 3.Josh Burdon | 2.Felipe Fraga
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,77,GTD,Wright Motorsports Porsche,911 GT3 R (992),Alan Brynjolfsson,Trent Hindman,Maxwell Root,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Alan Brynjolfsson 3.Maxwell Root | 2.Trent Hindman
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,78,GTD,Forte Racing Powered by USRT Lamborghini,Huracan GT3 EVO2,Misha Goikhberg,Loris Spinelli,Patrick Liddy,,,Forte Racing Powered by USRT Lamborghini Huracan GT3 EVO2 | GTD | 1.Misha Goikhberg 3.Patrick Liddy | 2.Loris Spinelli
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,79,GTD PRO,WeatherTech Racing,Mercedes-AMG GT3,Daniel Juncadella,Jules Gounon,,,,WeatherTech Racing Mercedes-AMG GT3 | GTDPRO | 1.Daniel Juncadella | 2.Jules Gounon
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,80,GTD,AO Racing Porsche,911 GT3 R (992),PJ Hyett,Seb Priaulx,Gunnar Jeannette,,,AO Racing Porsche 911 GT3 R (992) | GTD | 1.PJ Hyett 3.Gunnar Jeannette | 2.Seb Priaulx
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,83,GTD,Iron Dames Lamborghini,Huracan GT3 EVO2,Rahel Frey,Michelle Gatting,Doriane Pin,,,Iron Dames Lamborghini Huracan GT3 EVO2 | GTD | 1.Rahel Frey 3.Doriane Pin | 2.Michelle Gatting
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,85,LMP3,JDC Miller MotorSports,Duqueine D08,Till Bechtolsheimer,Dan Goldburg,Rasmus Lindh,,,JDC Miller MotorSports Duqueine D08 | LMP3 | 1.Till Bechtolsheimer 3.Rasmus Lindh | 2.Dan Goldburg
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,88,LMP2,AF Corse,ORECA 07,Luis Perez Companc,Lilou Wadoux Ducellier,Nicklas Nielsen,,,AF Corse ORECA LMP2 07 | LMP2 | 1.Luis Perez Companc 3.Nicklas Nielsen | 2.Lilou Wadoux Ducellier
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,91,GTD,Kellymoss with Riley Porsche,911 GT3 R (992),Alan Metni,Kay van Berlo,Jaxon Evans,,,Kellymoss with Riley Porsche 911 GT3 R (992) | GTD | 1.Alan Metni 3.Jaxon Evans | 2.Kay van Berlo
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,92,GTD,Kellymoss with Riley Porsche,911 GT3 R (992),David Brule,Alec Udell,Julien Andlauer,,,Kellymoss with Riley Porsche 911 GT3 R (992) | GTD | 1.David Brule 3.Julien Andlauer | 2.Alec Udell
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,93,GTD,Racers Edge Motorsports with WTR,Acura NSX GT3,Ashton Harrison,Danny Formal,Kyle Marcelli,,,Racers Edge Motorsports with WTR Acura NSX GT3 | GTD | 1.Ashton Harrison 3.Kyle Marcelli | 2.Danny Formal
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,95,GTD PRO,Turner Motorsport,BMW M4 GT3,Bill Auberlen,Chandler Hull,John Edwards,,,Turner Motorsport BMW M4 GT3 | GTDPRO | 1.Bill Auberlen 3.John Edwards | 2.Chandler Hull
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Patrick Gallagher,Robby Foley,Michael Dinan,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Patrick Gallagher 3.Michael Dinan | 2.Robby Foley
