year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,1,- GREEN FLAG,13:05:54.592,-,,2:05.042,125042,2:05.042,125042,1,25_FlagsAnalysisWithRCMessages_Race.PDF,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,2,FULL COURSE YELLOW,13:07:59.634,2:05.042,125042,4:39.874,279874,4:39.874,279874,2,25_FlagsAnalysisWithRCMessages_Race.PDF,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,3,GREEN FLAG,13:12:39.508,6:44.916,404916,31:42.205,1902205,33:47.247,2027247,4,25_FlagsAnalysisWithRCMessages_Race.PDF,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,4,FULL COURSE YELLOW,13:44:21.713,38:27.121,2307121,13:58.623,838623,18:38.497,1118497,30,25_FlagsAnalysisWithRCMessages_Race.PDF,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,GREEN FLAG,13:58:20.336,52:25.744,3145744,1:13.265,73265,35:00.512,2100512,36,25_FlagsAnalysisWithRCMessages_Race.PDF,2
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,6,FULL COURSE YELLOW,13:59:33.601,53:39.009,3219009,4:22.024,262024,23:00.521,1380521,37,25_FlagsAnalysisWithRCMessages_Race.PDF,2
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,7,GREEN FLAG,14:03:55.625,58:01.033,3481033,17:02.190,1022190,52:02.702,3122702,39,25_FlagsAnalysisWithRCMessages_Race.PDF,2
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,8,FULL COURSE YELLOW,14:20:57.815,1:15:03.223,4503223,7:25.191,445191,30:25.712,1825712,53,25_FlagsAnalysisWithRCMessages_Race.PDF,2
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,9,GREEN FLAG,14:28:23.006,1:22:28.414,4948414,8:39.359,519359,1:00:42.061,3642061,56,25_FlagsAnalysisWithRCMessages_Race.PDF,2
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,FULL COURSE YELLOW,14:37:02.365,1:31:07.773,5467773,2:13.802,133802,32:39.514,1959514,63,25_FlagsAnalysisWithRCMessages_Race.PDF,2
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,11,GREEN FLAG,14:39:16.167,1:33:21.575,5601575,7:28.696,448696,1:08:10.757,4090757,64,25_FlagsAnalysisWithRCMessages_Race.PDF,3
