year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,GTP,JDC-Miller MotorSports,Porsche 963,Tijmen van der Helm,Laurin Heinrich,,,,JDC-Miller MotorSports Porsche 963 | GTP | 1.Tijmen van der Helm | 2.Laurin Heinrich
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Laurens Vanthoor,Kevin Estre,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Laurens Vanthoor | 2.Kevin Estre
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Felipe Nasr,Julien Andlauer,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Felipe Nasr | 2.Julien Andlauer
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,GTP,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Ricky Taylor,Filipe Albuquerque,,,,Cadillac Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Ricky Taylor | 2.Filipe Albuquerque
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,12,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Aaron Telitz,Benjamin Pedersen,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Aaron Telitz | 2.Benjamin Pedersen
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,13,GTD,Autosport Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,,,,13 Autosport Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani | 2.Matthew Bell
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,16,GTD,Myers Riley Motorsports,Ford Mustang GT3,Sheena Monk,Felipe Fraga,,,,Myers Riley Motorsports Ford Mustang GT3 | GTD | 1.Sheena Monk | 2.Felipe Fraga
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,19,GTD,van der Steur Racing Aston Martin,Vantage GT3 Evo,Valentin Hasse Clot,Rory van der Steur,,,,van der Steur Racing Aston Martin Vantage GT3 Evo | GTD | 1.Valentin Hasse Clot | 2.Rory van der Steur
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,23,GTP,ASTON MARTIN THOR Team,Aston Martin Valkyrie,Ross Gunn,Roman De Angelis,,,,ASTON MARTIN THOR Team Aston Martin Valkyrie | GTP | 1.Ross Gunn | 2.Roman De Angelis
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,24,GTP,BMW M Team WRT,BMW M Hybrid V8,Sheldon van der Linde,Dries Vanthoor,,,,BMW M Team WRT BMW M Hybrid V8 | GTP | 1.Sheldon van der Linde | 2.Dries Vanthoor
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,25,GTP,BMW M Team WRT,BMW M Hybrid V8,Philipp Eng,Marco Wittmann,,,,BMW M Team WRT BMW M Hybrid V8 | GTP | 1.Philipp Eng | 2.Marco Wittmann
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Dudu Barrichello,Spencer Pumpelly,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Dudu Barrichello | 2.Spencer Pumpelly
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,31,GTP,Cadillac Whelen,Cadillac V-Series.R,Frederik Vesti,Jack Aitken,,,,Cadillac Whelen Cadillac V-Series.R | GTP | 1.Frederik Vesti | 2.Jack Aitken
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,34,GTD,Conquest Racing,Ferrari 296 GT3 EVO,Manny Franco,Albert Costa,,,,Conquest Racing Ferrari 296 GT3 EVO | GTD | 1.Manny Franco | 2.Albert Costa
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,36,GTD,DXDT Racing Chevrolet,Corvette Z06 GT3.R,Mason Filippi,Robert Wickens,,,,DXDT Racing Chevrolet Corvette Z06 GT3.R | GTD | 1.Mason Filippi | 2.Robert Wickens
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,40,GTP,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Jordan Taylor,Louis Deletraz,,,,Cadillac Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Jordan Taylor | 2.Louis Deletraz
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,45,GTD,Wayne Taylor Racing Lamborghini,Huracan GT3 EVO2,Danny Formal,Trent Hindman,,,,Wayne Taylor Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Danny Formal | 2.Trent Hindman
