year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,GTP,JDC-Miller MotorSports,Porsche 963,Tijmen van der Helm,Laurin Heinrich,,,,JDC-Miller MotorSports Porsche 963 | GTP | 1.Tijmen van der Helm | 2.Laurin Heinrich
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,46,GTD,Pfaff Motorsports Lamborghini,Temerario GT3,Andrea Caldarelli,Zachary Vanier,,,,Pfaff Motorsports Lamborghini Temerario GT3 | GTD | 1.Andrea Caldarelli | 2.Zachary Vanier
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,57,GTD,WINWARD RACING,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,WINWARD RACING Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,60,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Tom Blomqvist,Colin Braun,,,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Tom Blomqvist | 2.Colin Braun
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,66,GTD,Gradient Racing,Ford Mustang GT3,Jake Walker,Corey Lewis,,,,Gradient Racing Ford Mustang GT3 | GTD | 1.Jake Walker | 2.Corey Lewis
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,70,GTD,Inception Racing,Ferrari 296 GT3 EVO,Brendan Iribe,Frederik Schandorff,,,,Inception Racing Ferrari 296 GT3 EVO | GTD | 1.Brendan Iribe | 2.Frederik Schandorff
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,81,GTD,DragonSpeed Chevrolet,Corvette Z06 GT3.R,Henrik Hedman,Giacomo Altoè,,,,DragonSpeed Chevrolet Corvette Z06 GT3.R | GTD | 1.Henrik Hedman | 2.Giacomo Altoè
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,89,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Jack Hawksworth,Frankie Montecalvo,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth | 2.Frankie Montecalvo
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,93,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Renger van der Zande,Nick Yelloly,,,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Renger van der Zande | 2.Nick Yelloly
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,96,GTD,Turner Motorsport,BMW M4 GT3 EVO,Patrick Gallagher,Robby Foley,,,,Turner Motorsport BMW M4 GT3 EVO | GTD | 1.Patrick Gallagher | 2.Robby Foley
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,120,GTD,Wright Motorsports Porsche,911 GT3 R (992),Adam Adelson,Callum Ilott,,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Adam Adelson | 2.Callum Ilott
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,177,GTD,AO Racing Porsche,911 GT3 R (992),Harry King,Mikkel Pedersen,,,,AO Racing Porsche 911 GT3 R (992) | GTD | 1.Harry King | 2.Mikkel Pedersen
