year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,54,LMP2,CORE autosport,ORECA P,Jonathan Bennett,Colin Braun,Romain Dumas,,,CORE autosport ORECA LMP2 | P | 1.Jonathan Bennett 3.Romain Dumas | 2.Colin Braun
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,55,DPi,Mazda Team Joest,Mazda P,Jonathan Bomarito,Harry Tincknell,Spencer Pigot,,,Mazda Team Joest Mazda DPi | P | 1.Jonathan Bomarito 3.Spencer Pigot | 2.Harry Tincknell
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,58,GTD,Wright Motorsports,Porsche 911 GT3 R,Patrick Long,Christina Nielsen,Robert Renauer,Mathieu Jaminet,,Wright Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Long 3.Robert Renauer | 2.Christina Nielsen 4.Mathieu Jaminet
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Toni Vilander,James Calado,Alessandro Pier Guidi,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Toni Vilander 3.Alessandro Pier Guidi | 2.James Calado
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Alessandro Balzan,Gunnar Jeannette,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil 3.Gunnar Jeannette | 2.Alessandro Balzan
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,64,GTD,Scuderia Corsa,Ferrari 488 GT3,Bill Sweedler,Townsend Bell,Frank Montecalvo,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Bill Sweedler 3.Frank Montecalvo | 2.Townsend Bell
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,Sebastien Bourdais,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand 3.Sebastien Bourdais | 2.Dirk Mueller
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,Scott Dixon,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe 3.Scott Dixon | 2.Richard Westbrook
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,69,GTD,HART,Acura NSX GT3,Chad Gilsinger,Ryan Eversley,Tom Dyer,,,HART Acura NSX GT3 | GTD | 1.Chad Gilsinger 3.Tom Dyer | 2.Ryan Eversley
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,71,GTD,P1 Motorsports,Mercedes-AMG GT3,Kenton Koch,Loris Spinelli,JC Perez,,,P1 Motorsports Mercedes-AMG GT3 | GTD | 1.Kenton Koch 3.JC Perez | 2.Loris Spinelli
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Joerg Bergmeister,Timothy Pappas,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey 3.Timothy Pappas | 2.Joerg Bergmeister
