year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,,Action Express Racing,Chevrolet Corvette DP,Joao Barbosa P,Christian Fittipaldi,,,,Action Express Racing Chevrolet Corvette DP | 1.Joao Barbosa P | 2.Christian Fittipaldi
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,6,,Stevenson Motorsports,Audi R8 LMS GT3,Robin Liddell GTD,Andrew Davis,,,,Stevenson Motorsports Audi R8 LMS GT3 | 1.Robin Liddell GTD | 2.Andrew Davis
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,8,,Starworks Motorsports,ORECA FLM09,Renger Van Der Zande PC,Alex Popow,,,,Starworks Motorsports ORECA FLM09 | 1.Renger Van Der Zande PC | 2.Alex Popow
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,9,,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach GTD,Matt Bell,,,,Stevenson Motorsports Audi R8 LMS GT3 | 1.Lawson Aschenbach GTD | 2.Matt Bell
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,10,,Konica Minolta Corvette DP for Wayne Taylor Racing,Chevrolet Corvette DP,Ricky Taylor P,Jordan Taylor,,,,Konica Minolta Corvette DP for Wayne Taylor Racing Chevrolet Corvette DP | 1.Ricky Taylor P | 2.Jordan Taylor
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,16,,Change Racing,Lamborghini Huracan GT3,Spencer Pumpelly GTD,Corey Lewis,,,,Change Racing Lamborghini Huracan GT3 | 1.Spencer Pumpelly GTD | 2.Corey Lewis
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,20,,BAR1 Motorsports,ORECA FLM09,Johnny Mowlem PC,Tomy Drissi,,,,BAR1 Motorsports ORECA FLM09 | 1.Johnny Mowlem PC | 2.Tomy Drissi
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,22,,Alex Job Racing,Porsche 911 GT3 R,Cooper MacNeil GTD,Leh Keen,,,,Alex Job Racing Porsche 911 GT3 R | 1.Cooper MacNeil GTD | 2.Leh Keen
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,23,,Team Seattle / Alex Job Racing,Porsche 911 GT3 R,Mario Farnbacher GTD,Alex Riberas,,,,Team Seattle / Alex Job Racing Porsche 911 GT3 R | 1.Mario Farnbacher GTD | 2.Alex Riberas
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,27,,Dream Racing,Lamborghini Huracan GT3,Lawrence DeGeorge GTD,Cedric Sbirrazzuoli,,,,Dream Racing Lamborghini Huracan GT3 | 1.Lawrence DeGeorge GTD | 2.Cedric Sbirrazzuoli
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,31,,Action Express Racing,Chevrolet Corvette DP,Dane Cameron P,Eric Curran,,,,Action Express Racing Chevrolet Corvette DP | 1.Dane Cameron P | 2.Eric Curran
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,33,,Riley Motorsports,Dodge Viper GT3-R,Ben Keating GTD,Jeroen Bleekemolen,,,,Riley Motorsports Dodge Viper GT3-R | 1.Ben Keating GTD | 2.Jeroen Bleekemolen
