year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,38,,Performance Tech Motorsports,ORECA FLM09,James French PC,Kyle Marcelli,,,,Performance Tech Motorsports ORECA FLM09 | 1.James French PC | 2.Kyle Marcelli
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,44,,Magnus Racing,Audi R8 LMS GT3,John Potter GTD,Andy Lally,,,,Magnus Racing Audi R8 LMS GT3 | 1.John Potter GTD | 2.Andy Lally
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,48,,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers GTD,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | 1.Bryan Sellers GTD | 2.Madison Snow
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,52,,PR1/Mathiasen Motorsports,ORECA FLM09,Robert Alon PC,Tom Kimber-Smith,,,,PR1/Mathiasen Motorsports ORECA FLM09 | 1.Robert Alon PC | 2.Tom Kimber-Smith
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,54,,CORE autosport,ORECA FLM09,Jonathan Bennett PC,Colin Braun,,,,CORE autosport ORECA FLM09 | 1.Jonathan Bennett PC | 2.Colin Braun
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,55,,Mazda Motorsports,Mazda Prototype,Tristan Nunez P,Jonathan Bomarito,,,,Mazda Motorsports Mazda Prototype | 1.Tristan Nunez P | 2.Jonathan Bomarito
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,60,,Michael Shank Racing w/Curb-Agajanian,Honda HPD Ligier JS P2,Oswaldo Negri Jr. P,Katherine Legge,,,,Michael Shank Racing w/Curb-Agajanian Honda HPD Ligier JS P2 | 1.Oswaldo Negri Jr. P | 2.Katherine Legge
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,63,,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen GTD,Alessandro Balzan,,,,Scuderia Corsa Ferrari 488 GT3 | 1.Christina Nielsen GTD | 2.Alessandro Balzan
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,70,,Mazda Motorsports,Mazda Prototype,Tom Long P,Joel Miller,,,,Mazda Motorsports Mazda Prototype | 1.Tom Long P | 2.Joel Miller
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,73,,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey GTD,Jorg Bergmeister,,,,Park Place Motorsports Porsche 911 GT3 R | 1.Patrick Lindsey GTD | 2.Jorg Bergmeister
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,85,,JDC-Miller Motorsports,ORECA FLM09,Misha Goikhberg PC,Stephen Simpson,,,,JDC-Miller Motorsports ORECA FLM09 | 1.Misha Goikhberg PC | 2.Stephen Simpson
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,88,,Starworks Motorsports,ORECA FLM09,Mark Kvamme PC,Ashley Freiberg,,,,Starworks Motorsports ORECA FLM09 | 1.Mark Kvamme PC | 2.Ashley Freiberg
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,90,,VisitFlorida Racing,Chevrolet Corvette DP,Marc Goossens P,Ryan Dalziel,,,,VisitFlorida Racing Chevrolet Corvette DP | 1.Marc Goossens P | 2.Ryan Dalziel
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,96,,Turner Motorsports,BMW M6 GT3,Bret Curtis GTD,Jens Klingmann,,,,Turner Motorsports BMW M6 GT3 | 1.Bret Curtis GTD | 2.Jens Klingmann
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,97,,Turner Motorsports,BMW M6 GT3,Michael Marsal GTD,Markus Palttala,,,,Turner Motorsports BMW M6 GT3 | 1.Michael Marsal GTD | 2.Markus Palttala
