year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,71,GTD,P1 Motorsports,Mercedes-AMG GT3,JC Perez,Loris Spinelli,Daniel Morad,,,P1 Motorsports Mercedes-AMG GT3 | GTD | 1.JC Perez 3.Daniel Morad | 2.Loris Spinelli
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Joerg Bergmeister,,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey | 2.Joerg Bergmeister
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Kenny Habul,Thomas Jaeger,Mikael Grenier,,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Kenny Habul 3.Mikael Grenier | 2.Thomas Jaeger
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,77,DPi,Mazda Team Joest,Mazda P,Oliver Jarvis,Tristan Nunez,Rene Rast,,,Mazda Team Joest Mazda DPi | P | 1.Oliver Jarvis 3.Rene Rast | 2.Tristan Nunez
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,85,LMP2,JDC-Miller Motorsports,ORECA P,Simon Trummer,Robert Alon,Nelson Panciatici,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Simon Trummer 3.Nelson Panciatici | 2.Robert Alon
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,86,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Katherine Legge,Alvaro Parente,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Katherine Legge | 2.Alvaro Parente
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,90,DPi,Spirit of Daytona Racing,Cadillac P,Matthew McMurry,Tristan Vautier,,,,Spirit of Daytona Racing Cadillac DPi | P | 1.Matthew McMurry | 2.Tristan Vautier
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,93,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Justin Marks,Lawson Aschenbach,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Justin Marks | 2.Lawson Aschenbach
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Dillon Machavern,Markus Palttala,Don Yount,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Dillon Machavern 3.Don Yount | 2.Markus Palttala
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,99,LMP2,JDC-Miller Motorsports,ORECA P,Misha Goikhberg,Stephen Simpson,Chris Miller,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Misha Goikhberg 3.Chris Miller | 2.Stephen Simpson
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,911,GTLM,Porsche GT Team,Porsche RSR,Nick Tandy,Patrick Pilet,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Nick Tandy | 2.Patrick Pilet
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,Earl Bamber,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Laurens Vanthoor | 2.Earl Bamber
