year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,01,DPi,Cadillac Racing,Cadillac,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac DPi | DPi | 1.Renger van der Zande | 2.Sebastien Bourdais
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,02,DPi,Cadillac Racing,Cadillac,Earl Bamber,Alex Lynn,,,,Cadillac Racing Cadillac DPi | DPi | 1.Earl Bamber | 2.Alex Lynn
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia | 2.Jordan Taylor
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,5,DPi,JDC Miller MotorSports,Cadillac,Tristan Vautier,Richard Westbrook,,,,JDC Miller MotorSports Cadillac DPi | DPi | 1.Tristan Vautier | 2.Richard Westbrook
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,8,LMP2,Tower Motorsport,ORECA 07,John Farano,Louis Deletraz,,,,Tower Motorsport ORECA LMP2 07 | LMP2 | 1.John Farano | 2.Louis Deletraz
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,9,GTD PRO,Pfaff Motorsports,Porsche 911 GT3R,Matt Campbell,Mathieu Jaminet,,,,Pfaff Motorsports Porsche 911 GT3R | GTDPRO | 1.Matt Campbell | 2.Mathieu Jaminet
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,,,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor | 2.Filipe Albuquerque
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,11,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Steven Thomas,Tristan Nunez,,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Steven Thomas | 2.Tristan Nunez
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Aaron Telitz
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,13,LMP3,AWA,Duqueine D08,Matthew Bell,Orey Fidani,,,,AWA Duqueine D08 | LMP3 | 1.Matthew Bell | 2.Orey Fidani
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,14,GTD PRO,VasserSullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,,,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth | 2.Ben Barnicoat
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Jan Heylen,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Jan Heylen
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Ryan Dalziel,,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman | 2.Ryan Dalziel
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,20,LMP2,High Class Racing,ORECA 07,Dennis Andersen,Fabio Scherer,,,,High Class Racing ORECA LMP2 07 | LMP2 | 1.Dennis Andersen | 2.Fabio Scherer
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,23,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3,Ross Gunn,Alex Riberas,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTDPRO | 1.Ross Gunn | 2.Alex Riberas
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,25,GTD PRO,BMW M Team RLL,BMW M4 GT3,Connor De Phillippi,John Edwards,,,,BMW M Team RLL BMW M4 GT3 | GTDPRO | 1.Connor De Phillippi | 2.John Edwards
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Maxime Martin,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Maxime Martin
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,30,LMP3,Jr III Racing,Ligier JS P320,Ari Balogh,Garett Grist,,,,Jr III Racing Ligier JS P320 | LMP3 | 1.Ari Balogh | 2.Garett Grist
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,31,DPi,Whelen Engineering Racing,Cadillac,Olivier Pla,Pipo Derani,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Olivier Pla | 2.Pipo Derani
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Stevan McAleer,,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Stevan McAleer
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,33,LMP3,Sean Creech Motorsport,Ligier JS P320,Joao Barbosa,Malthe Jakobsen,,,,Sean Creech Motorsport Ligier JS P320 | LMP3 | 1.Joao Barbosa | 2.Malthe Jakobsen
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,36,LMP3,Andretti Autosport,Ligier JS P320,Jarett Andretti,Gabby Chaves,,,,Andretti Autosport Ligier JS P320 | LMP3 | 1.Jarett Andretti | 2.Gabby Chaves
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,38,LMP3,Performance Tech Motorsports,Ligier JS P320,James French,Cameron Shields,,,,Performance Tech Motorsports Ligier JS P320 | LMP3 | 1.James French | 2.Cameron Shields
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,39,GTD,CarBahn with Peregrine Racing Lamborghini,Huracan GT3,Robert Megennis,Jeff Westphal,,,,CarBahn with Peregrine Racing Lamborghini Huracan GT3 | GTD | 1.Robert Megennis | 2.Jeff Westphal
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,42,GTD,NTE/SSR,Lamborghini Huracan GT3,Jaden Conwright,Marco Holzer,,,,NTE/SSR Lamborghini Huracan GT3 | GTD | 1.Jaden Conwright | 2.Marco Holzer
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,51,GTD,Rick Ware Racing,Acura NSX GT3,Ryan Eversley,Aidan Read,,,,Rick Ware Racing Acura NSX GT3 | GTD | 1.Ryan Eversley | 2.Aidan Read
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Patrick Kelly,Josh Pierson,,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Patrick Kelly | 2.Josh Pierson
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,54,LMP3,CORE Autosport,Ligier JS P320,Jon Bennett,Colin Braun,,,,CORE Autosport Ligier JS P320 | LMP3 | 1.Jon Bennett | 2.Colin Braun
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,58,LMP3,MLT Motorsports,Ligier JS P320,Dakota Dickerson,Josh Sarchet,,,,MLT Motorsports Ligier JS P320 | LMP3 | 1.Dakota Dickerson | 2.Josh Sarchet
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,60,DPi,Meyer Shank Racing W/Curb-Agajanian,Acura,Oliver Jarvis,Tom Blomqvist,,,,Meyer Shank Racing Acura DPi | W/Curb-Agajanian DPi | 1.Oliver Jarvis | 2.Tom Blomqvist
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,74,LMP3,Riley Motorsports,Ligier JS P320,Gar Robinson,Felipe Fraga,,,,Riley Motorsports Ligier JS P320 | LMP3 | 1.Gar Robinson | 2.Felipe Fraga
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,79,GTD,WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,Daniel Juncadella,,,,WeatherTech Racing Mercedes-AMG GT3 | GTD | 1.Cooper MacNeil | 2.Daniel Juncadella
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,81,LMP2,DragonSpeed USA,ORECA 07,Henrik Hedman,Juan Pablo Montoya,,,,DragonSpeed USA ORECA LMP2 07 | LMP2 | 1.Henrik Hedman | 2.Juan Pablo Montoya
2022,16_Road America,Road America,road-america,2022-08-07,202208071040_Race,90,LMP3,JDC-Miller MotorSports,Duqueine D08,Gerry Kraut,Scott Andrews,,,,JDC-Miller MotorSports Duqueine D08 | LMP3 | 1.Gerry Kraut | 2.Scott Andrews
