year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,23,GTP,ASTON MARTIN THOR Team,Aston Martin Valkyrie,Ross Gunn,Roman De Angelis,,,,ASTON MARTIN THOR Team Aston Martin Valkyrie | GTP | 1.Ross Gunn | 2.Roman De Angelis
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,24,GTP,BMW M Team WRT,BMW M Hybrid V8,Dries Vanthoor,Sheldon van der Linde,,,,BMW M Team WRT BMW M Hybrid V8 | GTP | 1.Dries Vanthoor | 2.Sheldon van der Linde
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,25,GTP,BMW M Team WRT,BMW M Hybrid V8,Philipp Eng,Marco Wittmann,,,,BMW M Team WRT BMW M Hybrid V8 | GTP | 1.Philipp Eng | 2.Marco Wittmann
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Dudu Barrichello,Tom Gamble,Zacharie Robichon,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Dudu Barrichello 3.Zacharie Robichon | 2.Tom Gamble
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,28,GTD,Rs1 Porsche,911 GT3 R (992),Eric Lux,Dillon Machavern,Jan Heylen,,,Rs1 Porsche 911 GT3 R (992) | GTD | 1.Eric Lux 3.Jan Heylen | 2.Dillon Machavern
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,31,GTP,Cadillac Whelen,Cadillac V-Series.R,Jack Aitken,Earl Bamber,Frederik Vesti,,,Cadillac Whelen Cadillac V-Series.R | GTP | 1.Jack Aitken 3.Frederik Vesti | 2.Earl Bamber
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,033,GTD PRO,Triarsi Competizione,Ferrari 296 GT3 EVO,James Calado,Riccardo Agostini,,,,Triarsi Competizione Ferrari 296 GT3 EVO | GTDPRO | 1.James Calado | 2.Riccardo Agostini
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,34,GTD,Conquest Racing,Ferrari 296 GT3 EVO,Albert Costa,Lorenzo Patrese,Fran Rueda,,,Conquest Racing Ferrari 296 GT3 EVO | GTD | 1.Albert Costa 3.Fran Rueda | 2.Lorenzo Patrese
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,36,GTD,DXDT Racing Chevrolet,Corvette Z06 GT3.R,Mason Filippi,Salih Yoluc,Charlie Eastwood,,,DXDT Racing Chevrolet Corvette Z06 GT3.R | GTD | 1.Mason Filippi 3.Charlie Eastwood | 2.Salih Yoluc
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,37,LMP2,Intersport Racing,ORECA 07,Oliver Jarvis,Seth Lucas,Jon Field,,,Intersport Racing ORECA LMP2 07 | LMP2 | 1.Oliver Jarvis 3.Jon Field | 2.Seth Lucas
