year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,P,Panoz DeltaWing Racing,DeltaWing DWC13,Katherine Legge,Sean Rayhall,,,,Panoz DeltaWing Racing DeltaWing DWC13 | P | 1.Katherine Legge | 2.Sean Rayhall
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,22,GTD,Alex Job Racing,Porsche 911 GT3 R,Cooper MacNeil,Sven Muller,,,,Alex Job Racing Porsche 911 GT3 R | GTD | 1.Cooper MacNeil | 2.Sven Muller
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,23,GTD,Team Seattle / Alex Job Racing,Porsche 911 GT3 R,Mario Farnbacher,Alex Riberas,,,,Team Seattle / Alex Job Racing Porsche 911 GT3 R | GTD | 1.Mario Farnbacher | 2.Alex Riberas
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,25,GTLM,BMW Team RLL,BMW M6,Bill Auberlen,Dirk Werner,,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.Bill Auberlen | 2.Dirk Werner
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,26,PC,BAR1 Motorsports,ORECA FLM09,Don Yount,Johnny Mowlem,,,,BAR1 Motorsports ORECA FLM09 | PC | 1.Don Yount | 2.Johnny Mowlem
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,27,GTD,Dream Racing Motorsport,Lamborghini Huracan GT3,Luca Persiani,Cedric Sbirrazzuoli,,,,Dream Racing Motorsport Lamborghini Huracan GT3 | GTD | 1.Luca Persiani | 2.Cedric Sbirrazzuoli
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,31,P,Action Express Racing,Chevrolet Corvette DP,Dane Cameron,Eric Curran,,,,Action Express Racing Chevrolet Corvette DP | P | 1.Dane Cameron | 2.Eric Curran
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,33,GTD,Riley Motorsports,Dodge Viper GT3-R,Ben Keating,Jeroen Bleekemolen,,,,Riley Motorsports Dodge Viper GT3-R | GTD | 1.Ben Keating | 2.Jeroen Bleekemolen
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,38,PC,Performance Tech Motorsports,ORECA FLM09,James French,Kyle Marcelli,,,,Performance Tech Motorsports ORECA FLM09 | PC | 1.James French | 2.Kyle Marcelli
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,44,GTD,Magnus Racing,Audi R8 LMS GT3,John Potter,Andy Lally,,,,Magnus Racing Audi R8 LMS GT3 | GTD | 1.John Potter | 2.Andy Lally
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,52,PC,PR1/Mathiasen Motorsports,ORECA FLM09,Robert Alon,Tom Kimber-Smith,,,,PR1/Mathiasen Motorsports ORECA FLM09 | PC | 1.Robert Alon | 2.Tom Kimber-Smith
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,54,PC,CORE autosport,ORECA FLM09,Jonathan Bennett,Colin Braun,,,,CORE autosport ORECA FLM09 | PC | 1.Jonathan Bennett | 2.Colin Braun
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,55,P,Mazda Motorsports,Mazda Prototype,Tristan Nunez,Jonathan Bomarito,,,,Mazda Motorsports Mazda Prototype | P | 1.Tristan Nunez | 2.Jonathan Bomarito
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,60,P,Michael Shank Racing w/Curb-Agajanian,Honda HPD Ligier JS P2,John Pew,Oswaldo Negri Jr.,,,,Michael Shank Racing Honda HPD Ligier JS P2 | w/Curb-Agajanian P | 1.John Pew | 2.Oswaldo Negri Jr.
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,Toni Vilander,,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Giancarlo Fisichella | 2.Toni Vilander
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,Alessandro Balzan,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Christina Nielsen | 2.Alessandro Balzan
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand | 2.Dirk Mueller
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,70,P,Mazda Motorsports,Mazda Prototype,Tom Long,Joel Miller,,,,Mazda Motorsports Mazda Prototype | P | 1.Tom Long | 2.Joel Miller
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Jorg Bergmeister,,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey | 2.Jorg Bergmeister
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,77,GTD,Alex Job Racing,Porsche 911 GT3 R,David MacNeil,Gunnar Jeannette,,,,Alex Job Racing Porsche 911 GT3 R | GTD | 1.David MacNeil | 2.Gunnar Jeannette
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,80,GTD,Lone Star Racing,Dodge Viper GT3-R,Dan Knox,Mike Skeen,,,,Lone Star Racing Dodge Viper GT3-R | GTD | 1.Dan Knox | 2.Mike Skeen
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,85,PC,JDC-Miller Motorsports,ORECA FLM09,Misha Goikhberg,Stephen Simpson,,,,JDC-Miller Motorsports ORECA FLM09 | PC | 1.Misha Goikhberg | 2.Stephen Simpson
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,88,PC,Starworks Motorsport,ORECA FLM09,Mark Kvamme,Richard Bradley,,,,Starworks Motorsport ORECA FLM09 | PC | 1.Mark Kvamme | 2.Richard Bradley
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,90,P,VisitFlorida Racing,Chevrolet Corvette DP,Marc Goossens,Ryan Dalziel,,,,VisitFlorida Racing Chevrolet Corvette DP | P | 1.Marc Goossens | 2.Ryan Dalziel
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bret Curtis,Jens Klingmann,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bret Curtis | 2.Jens Klingmann
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,97,GTD,Turner Motorsport,BMW M6 GT3,Michael Marsal,Markus Palttala,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Michael Marsal | 2.Markus Palttala
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,100,GTLM,BMW Team RLL,BMW M6,John Edwards,Lucas Luhr,,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.John Edwards | 2.Lucas Luhr
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,911,GTLM,Porsche North America,Porsche RSR,Patrick Pilet,Nick Tandy,,,,Porsche North America Porsche 911 RSR | GTLM | 1.Patrick Pilet | 2.Nick Tandy
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,912,GTLM,Porsche North America,Porsche 911 RSR,Earl Bamber,Frederic Makowiecki,,,,Porsche North America Porsche 911 RSR | GTLM | 1.Earl Bamber | 2.Frederic Makowiecki
