year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,P,Panoz DeltaWing Racing,DeltaWing DWC13,Katherine Legge,Sean Rayhall,,,,Panoz DeltaWing Racing DeltaWing DWC13 | P | 1.Katherine Legge | 2.Sean Rayhall
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Antonio Garcia,Jan Magnussen,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Antonio Garcia | 2.Jan Magnussen
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,5,P,Action Express Racing,Chevrolet Corvette DP,Joao Barbosa,Christian Fittipaldi,,,,Action Express Racing Chevrolet Corvette DP | P | 1.Joao Barbosa | 2.Christian Fittipaldi
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,6,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Robin Liddell,Andrew Davis,,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Robin Liddell | 2.Andrew Davis
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,7,PC,Starworks Motorsport,ORECA FLM09,Jose Gutierrez,Gustavo Yacaman,,,,Starworks Motorsport ORECA FLM09 | PC | 1.Jose Gutierrez | 2.Gustavo Yacaman
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,8,PC,Starworks Motorsport,ORECA FLM09,Renger van der Zande,Alex Popow,,,,Starworks Motorsport ORECA FLM09 | PC | 1.Renger van der Zande | 2.Alex Popow
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,9,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,Matt Bell,,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Lawson Aschenbach | 2.Matt Bell
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,10,P,No. Konica Minolta Corvette DP for Wayne Taylor,Chevrolet Corvette DP,Ricky Taylor,Jordan Taylor,,,,No. 10 Konica Minolta Corvette DP for Chevrolet Corvette DP | Wayne Taylor P | 1.Ricky Taylor | 2.Jordan Taylor
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,16,GTD,Change Racing,Lamborghini Huracan GT3,Corey Lewis,Spencer Pumpelly,,,,Change Racing Lamborghini Huracan GT3 | GTD | 1.Corey Lewis | 2.Spencer Pumpelly
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,20,PC,BAR1 Motorsports,ORECA FLM09,Matthew McMurry,Bruno Junqueira,,,,BAR1 Motorsports ORECA FLM09 | PC | 1.Matthew McMurry | 2.Bruno Junqueira
