year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,5,DPi,Mustang Sampling Racing,Cadillac,Joao Barbosa,Filipe Albuquerque,,,,Mustang Sampling Racing Cadillac DPi | DPi | 1.Joao Barbosa | 2.Filipe Albuquerque
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,6,DPi,Acura Team Penske,Acura,Dane Cameron,Juan Pablo Montoya,,,,Acura Team Penske Acura DPi | DPi | 1.Dane Cameron | 2.Juan Pablo Montoya
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,7,DPi,Acura Team Penske,Acura,Ricky Taylor,Helio Castroneves,,,,Acura Team Penske Acura DPi | DPi | 1.Ricky Taylor | 2.Helio Castroneves
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3 R,Scott Hargrove,Zacharie Robichon,,,,Pfaff Motorsports Porsche 911 GT3 R | GTD | 1.Scott Hargrove | 2.Zacharie Robichon
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,10,DPi,Konica Minolta Cadillac DPi-V.R.,Cadillac,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R. Cadillac DPi | DPi | 1.Renger Van Der Zande | 2.Jordan Taylor
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,12,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Frank Montecalvo,Townsend Bell,,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frank Montecalvo | 2.Townsend Bell
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,14,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Richard Heistand,Jack Hawksworth,,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Richard Heistand | 2.Jack Hawksworth
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Connor De Phillippi,Tom Blomqvist,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Connor De Phillippi | 2.Tom Blomqvist
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Pipo Derani,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr | 2.Pipo Derani
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,33,GTD,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,,,,Riley Motorsports - Team AMG Mercedes-AMG GT3 | GTD | 1.Ben Keating | 2.Jeroen Bleekemolen
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,38,LMP2,Performance Tech Motorsports,ORECA,Cameron Cassels,Kyle Masson,,,,Performance Tech Motorsports ORECA LMP2 | LMP2 | 1.Cameron Cassels | 2.Kyle Masson
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,44,GTD,Magnus Racing Lamborghini,Huracan GT3,John Potter,Andy Lally,,,,Magnus Racing Lamborghini Huracan GT3 | GTD | 1.John Potter | 2.Andy Lally
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,48,GTD,Paul Miller Racing Lamborghini,Huracan GT3,Bryan Sellers,Corey Lewis,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Corey Lewis
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA,Matthew McMurry,Dalton Kellett,,,,PR1 Mathiasen Motorsports ORECA LMP2 | LMP2 | 1.Matthew McMurry | 2.Dalton Kellett
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,54,DPi,CORE autosport,Nissan,Jonathan Bennett,Colin Braun,,,,CORE autosport Nissan DPi | DPi | 1.Jonathan Bennett | 2.Colin Braun
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,55,DPi,Mazda Team Joest,Mazda,Jonathan Bomarito,Harry Tincknell,,,,Mazda Team Joest Mazda DPi | DPi | 1.Jonathan Bomarito | 2.Harry Tincknell
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,57,GTD,Heinricher Racing w/Meyer Shank Racing,Acura NSX GT3,Katherine Legge,Christina Nielsen,,,,Heinricher Racing w/Meyer Shank Acura NSX GT3 | Racing GTD | 1.Katherine Legge | 2.Christina Nielsen
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Toni Vilander,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil | 2.Toni Vilander
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand | 2.Dirk Mueller
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,76,GTD,Compass Racing,McLaren 720S GT3,Paul Holton,Matt Plumb,,,,Compass Racing McLaren 720S GT3 | GTD | 1.Paul Holton | 2.Matt Plumb
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,77,DPi,Mazda Team Joest,Mazda,Oliver Jarvis,Tristan Nunez,,,,Mazda Team Joest Mazda DPi | DPi | 1.Oliver Jarvis | 2.Tristan Nunez
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,84,DPi,JDC-Miller MotorSports,Cadillac,Simon Trummer,Stephen Simpson,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Simon Trummer | 2.Stephen Simpson
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Misha Goikhberg,Tristan Vautier,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Misha Goikhberg | 2.Tristan Vautier
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,86,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Trent Hindman,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Mario Farnbacher | 2.Trent Hindman
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen | 2.Robby Foley
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Nick Tandy,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet | 2.Nick Tandy
2019,16_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2019-09-15,201909151205_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Earl Bamber,Laurens Vanthoor,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Earl Bamber | 2.Laurens Vanthoor
