year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,31,DPi,Whelen Engineering Racing,Cadillac P,Felipe Nasr,Eric Curran,Mike Conway,Stuart Middleton,,Whelen Engineering Racing Cadillac DPi | P | 1.Felipe Nasr 3.Mike Conway | 2.Eric Curran 4.Stuart Middleton
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,32,LMP2,United Autosports,Ligier P,Will Owen,Hugo de Sadeleer,Paul Di Resta,Bruno Senna,,United Autosports Ligier LMP2 | P | 1.Will Owen 3.Paul Di Resta | 2.Hugo de Sadeleer 4.Bruno Senna
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,33,GTD,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,Adam Christodoulou,Luca Stolz,,Mercedes-AMG Team Riley Mercedes-AMG GT3 | Motorsports GTD | 1.Ben Keating 3.Adam Christodoulou | 2.Jeroen Bleekemolen 4.Luca Stolz
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,37,LMP2,Jackie Chan DCR JOTA,ORECA P,Lance Stroll,Felix Rosenqvist,Robin Frijns,Daniel Juncadella,,Jackie Chan DCR JOTA ORECA LMP2 | P | 1.Lance Stroll 3.Robin Frijns | 2.Felix Rosenqvist 4.Daniel Juncadella
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,38,LMP2,Performance Tech Motorsports,ORECA P,James French,Pato O'Ward,Kyle Masson,Joel Miller,,Performance Tech Motorsports ORECA LMP2 | P | 1.James French 3.Kyle Masson | 2.Pato O'Ward 4.Joel Miller
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,44,GTD,Magnus Racing,Audi R8 LMS GT3,John Potter,Andy Lally,Andrew Davis,Markus Winkelhock,,Magnus Racing Audi R8 LMS GT3 | GTD | 1.John Potter 3.Andrew Davis | 2.Andy Lally 4.Markus Winkelhock
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,Andrea Caldarelli,Bryce Miller,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Andrea Caldarelli | 2.Madison Snow 4.Bryce Miller
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,51,GTD,Spirit of Race,Ferrari 488 GT3,Paul Dalla Lana,Pedro Lamy,Mathias Lauda,Daniel Serra,,Spirit of Race Ferrari 488 GT3 | GTD | 1.Paul Dalla Lana 3.Mathias Lauda | 2.Pedro Lamy 4.Daniel Serra
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,52,LMP2,AFS/PR1 Mathiasen Motorsports,Ligier P,Sebastian Saavedra,Gustavo Yacaman,Roberto Gonzalez,Nicholas Boulle,,AFS/PR1 Mathiasen Motorsports Ligier LMP2 | P | 1.Sebastian Saavedra 3.Roberto Gonzalez | 2.Gustavo Yacaman 4.Nicholas Boulle
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,54,LMP2,CORE autosport,ORECA P,Jonathan Bennett,Colin Braun,Romain Dumas,Loic Duval,,CORE autosport ORECA LMP2 | P | 1.Jonathan Bennett 3.Romain Dumas | 2.Colin Braun 4.Loic Duval
