year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,36,GTD,DXDT Racing Chevrolet,Corvette Z06 GT3.R,Mason Filippi,Charlie Eastwood,Salih Yoluc,,,DXDT Racing Chevrolet Corvette Z06 GT3.R | GTD | 1.Mason Filippi 3.Salih Yoluc | 2.Charlie Eastwood
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,37,LMP2,Intersport Racing,ORECA 07,Oliver Jarvis,Seth Lucas,Jon Field,,,Intersport Racing ORECA LMP2 07 | LMP2 | 1.Oliver Jarvis 3.Jon Field | 2.Seth Lucas
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,40,GTP,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Jordan Taylor,Louis Deletraz,Colton Herta,,,Cadillac Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Jordan Taylor 3.Colton Herta | 2.Louis Deletraz
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,43,LMP2,Inter Europol Competition,ORECA 07,Tom Dillmann,Bijoy Garg,Jeremy Clarke,,,Inter Europol Competition ORECA LMP2 07 | LMP2 | 1.Tom Dillmann 3.Jeremy Clarke | 2.Bijoy Garg
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,45,GTD,Wayne Taylor Racing Lamborghini,Huracan GT3 EVO2,Danny Formal,Trent Hindman,Graham Doyle,,,Wayne Taylor Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Danny Formal 3.Graham Doyle | 2.Trent Hindman
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,48,GTD PRO,WINWARD RACING,Mercedes-AMG GT3,Scott Noble,Jason Hart,Luca Stolz,,,WINWARD RACING Mercedes-AMG GT3 | GTDPRO | 1.Scott Noble 3.Luca Stolz | 2.Jason Hart
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,52,LMP2,Bryan Herta Autosport with PR1/Mathiasen,ORECA 07,Misha Goikhberg,Parker Thompson,Harry Tincknell,,,Bryan Herta Autosport with ORECA LMP2 07 | PR1/Mathiasen LMP2 | 1.Misha Goikhberg 3.Harry Tincknell | 2.Parker Thompson
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,57,GTD,WINWARD RACING,Mercedes-AMG GT3,Russell Ward,Philip Ellis,Indy Dontje,,,WINWARD RACING Mercedes-AMG GT3 | GTD | 1.Russell Ward 3.Indy Dontje | 2.Philip Ellis
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,59,GTD PRO,RLL Team McLaren McLaren,720S GT3 EVO,Max Esterson,Nikita Johnson,Dean MacDonald,,,RLL Team McLaren McLaren 720S GT3 EVO | GTDPRO | 1.Max Esterson 3.Dean MacDonald | 2.Nikita Johnson
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,60,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Tom Blomqvist,Colin Braun,Scott Dixon,,,Acura Meyer Shank Racing Acura ARX-06 | w/Curb Agajanian GTP | 1.Tom Blomqvist 3.Scott Dixon | 2.Colin Braun
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,62,GTD PRO,Risi Competizione,Ferrari 296 GT3 EVO,Daniel Serra,Davide Rigon,Alessandro Pier Guidi,,,Risi Competizione Ferrari 296 GT3 EVO | GTDPRO | 1.Daniel Serra 3.Alessandro Pier Guidi | 2.Davide Rigon
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,64,GTD PRO,Ford Racing,Ford Mustang GT3,Ben Barker,Dennis Olsen,Mike Rockenfeller,,,Ford Racing Ford Mustang GT3 | GTDPRO | 1.Ben Barker 3.Mike Rockenfeller | 2.Dennis Olsen
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,65,GTD PRO,Ford Racing,Ford Mustang GT3,Christopher Mies,Frederic Vervisch,Sebastian Priaulx,,,Ford Racing Ford Mustang GT3 | GTDPRO | 1.Christopher Mies 3.Sebastian Priaulx | 2.Frederic Vervisch
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,66,GTD,Gradient Racing,Ford Mustang GT3,Jake Walker,Till Bechtolsheimer,Joey Hand,,,Gradient Racing Ford Mustang GT3 | GTD | 1.Jake Walker 3.Joey Hand | 2.Till Bechtolsheimer
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,70,GTD,Inception Racing,Ferrari 296 GT3 EVO,Brendan Iribe,Frederik Schandorff,Ollie Millroy,,,Inception Racing Ferrari 296 GT3 EVO | GTD | 1.Brendan Iribe 3.Ollie Millroy | 2.Frederik Schandorff
