year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Madison Snow,Neil Verhagen,,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Madison Snow | 2.Neil Verhagen
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,2,LMP2,United Autosports USA,ORECA 07,Phil Fayer,Ben Hanley,,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Phil Fayer | 2.Ben Hanley
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Antonio Garcia,Alexander Sims,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Antonio Garcia | 2.Alexander Sims
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Alex Quinn,,,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz | 2.Alex Quinn
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Tommy Milner,Nicky Catsburg,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Tommy Milner | 2.Nicky Catsburg
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,8,LMP2,Tower Motorsports,ORECA 07,John Farano,Renger van der Zande,,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.John Farano | 2.Renger van der Zande
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,9,GTD PRO,Pfaff Motorsports Lamborghini,Huracan GT3 EVO2,Andrea Caldarelli,Marco Mapelli,,,,Pfaff Motorsports Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Andrea Caldarelli | 2.Marco Mapelli
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,11,LMP2,TDS RACING,ORECA 07,Steven Thomas,Hunter McElrea,,,,TDS RACING ORECA LMP2 07 | LMP2 | 1.Steven Thomas | 2.Hunter McElrea
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,12,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Jack Hawksworth,Parker Thompson,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth | 2.Parker Thompson
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani | 2.Matthew Bell
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,14,GTD PRO,Vasser Sullivan Racing,Lexus RC F GT3,Ben Barnicoat,Aaron Telitz,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTDPRO | 1.Ben Barnicoat | 2.Aaron Telitz
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,18,LMP2,Era Motorsport,ORECA 07,Ryan Dalziel,Travis Hill,,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Ryan Dalziel | 2.Travis Hill
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,021,GTD,Triarsi Competizione,Ferrari 296 GT3,Onofrio Triarsi,Kenton Koch,,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Onofrio Triarsi | 2.Kenton Koch
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,22,LMP2,United Autosports USA,ORECA 07,Daniel Goldburg,Tom Blomqvist,,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Daniel Goldburg | 2.Tom Blomqvist
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,27,GTD,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Roman De Angelis,Casper Stevenson,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Roman De Angelis | 2.Casper Stevenson
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Manny Franco,Daniel Serra,,,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Manny Franco | 2.Daniel Serra
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,36,GTD,DXDT Racing Chevrolet,Corvette Z06 GT3.R,Robert Wickens,Alec Udell,,,,DXDT Racing Chevrolet Corvette Z06 GT3.R | GTD | 1.Robert Wickens | 2.Alec Udell
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,43,LMP2,Inter Europol Competition,ORECA 07,Tom Dillmann,Jeremy Clarke,,,,Inter Europol Competition ORECA LMP2 07 | LMP2 | 1.Tom Dillmann | 2.Jeremy Clarke
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,45,GTD,Wayne Taylor Racing Lamborghini,Huracan GT3 EVO2,Danny Formal,Trent Hindman,,,,Wayne Taylor Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Danny Formal | 2.Trent Hindman
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,48,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Max Hesse,Dan Harper,,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Max Hesse | 2.Dan Harper
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Benjamin Pedersen,Nick Boulle,,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Benjamin Pedersen | 2.Nick Boulle
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,64,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Mike Rockenfeller,Sebastian Priaulx,,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Mike Rockenfeller | 2.Sebastian Priaulx
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,65,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Christopher Mies,Frederic Vervisch,,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Christopher Mies | 2.Frederic Vervisch
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,66,GTD,Gradient Racing,Ford Mustang GT3,Jenson Altzman,Robert Megennis,,,,Gradient Racing Ford Mustang GT3 | GTD | 1.Jenson Altzman | 2.Robert Megennis
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,70,GTD,Inception Racing,Ferrari 296 GT3,Brendan Iribe,Frederik Schandorff,,,,Inception Racing Ferrari 296 GT3 | GTD | 1.Brendan Iribe | 2.Frederik Schandorff
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,73,LMP2,Pratt Miller Motorsports,ORECA 07,Pietro Fittipaldi,Chris Cumming,,,,Pratt Miller Motorsports ORECA LMP2 07 | LMP2 | 1.Pietro Fittipaldi | 2.Chris Cumming
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,74,LMP2,Riley,ORECA 07,Gar Robinson,Felipe Fraga,,,,Riley ORECA LMP2 07 | LMP2 | 1.Gar Robinson | 2.Felipe Fraga
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,77,GTD PRO,AO Racing Porsche,911 GT3 R (992),Laurin Heinrich,Klaus Bachler,,,,AO Racing Porsche 911 GT3 R (992) | GTDPRO | 1.Laurin Heinrich | 2.Klaus Bachler
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,78,GTD,Forte Racing Lamborghini,Huracan GT3 EVO2,Misha Goikhberg,Mario Farnbacher,,,,Forte Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Misha Goikhberg | 2.Mario Farnbacher
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,81,GTD PRO,DragonSpeed,Ferrari 296 GT3,Albert Costa,Giacomo Altoè,,,,DragonSpeed Ferrari 296 GT3 | GTDPRO | 1.Albert Costa | 2.Giacomo Altoè
2025,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2025-07-13,202507131405_Race,96,GTD,Turner Motorsport,BMW M4 GT3 EVO,Patrick Gallagher,Robby Foley,,,,Turner Motorsport BMW M4 GT3 EVO | GTD | 1.Patrick Gallagher | 2.Robby Foley
